pathway	abundance	LIBID
PWY0-1241: ADP-L-glycero-&beta;-D-manno-heptose biosynthesis|g__Klebsiella.s__Klebsiella_quasipneumoniae	122.9066193734	MBM167
PWY0-1241: ADP-L-glycero-&beta;-D-manno-heptose biosynthesis|unclassified	27.8154371782	MBM167
PWY0-1241: ADP-L-glycero-&beta;-D-manno-heptose biosynthesis|g__Klebsiella.s__Klebsiella_pneumoniae	12.7347400563	MBM167
PWY0-1241: ADP-L-glycero-&beta;-D-manno-heptose biosynthesis|g__Escherichia.s__Escherichia_fergusonii	4.4929232247	MBM167
PWY-5100: pyruvate fermentation to acetate and lactate II	1071.1335060237	MBM167
PWY-5100: pyruvate fermentation to acetate and lactate II|g__Escherichia.s__Escherichia_coli	78.7105590779	MBM167
PWY-5100: pyruvate fermentation to acetate and lactate II|unclassified	65.7821239422	MBM167
PWY-5100: pyruvate fermentation to acetate and lactate II|g__Klebsiella.s__Klebsiella_pneumoniae	27.3279727624	MBM167
PWY-5100: pyruvate fermentation to acetate and lactate II|g__Escherichia.s__Escherichia_fergusonii	0.6582195162	MBM167
GLYCOL-GLYOXDEG-PWY: superpathway of glycol metabolism and degradation	1037.7427611679	MBM167
GLYCOL-GLYOXDEG-PWY: superpathway of glycol metabolism and degradation|g__Escherichia.s__Escherichia_coli	838.4423343358	MBM167
GLYCOL-GLYOXDEG-PWY: superpathway of glycol metabolism and degradation|g__Klebsiella.s__Klebsiella_pneumoniae	153.4511688473	MBM167
DAPLYSINESYN-PWY: L-lysine biosynthesis I	1007.0529478033	MBM167
DAPLYSINESYN-PWY: L-lysine biosynthesis I|g__Escherichia.s__Escherichia_coli	664.1973372181	MBM167
DAPLYSINESYN-PWY: L-lysine biosynthesis I|unclassified	42.9556777713	MBM167
DAPLYSINESYN-PWY: L-lysine biosynthesis I|g__Klebsiella.s__Klebsiella_quasipneumoniae	39.8104396915	MBM167
PWY0-1297: superpathway of purine deoxyribonucleosides degradation	1005.7341852285	MBM167
PWY0-1297: superpathway of purine deoxyribonucleosides degradation|g__Escherichia.s__Escherichia_coli	421.675460787	MBM167
PWY0-1297: superpathway of purine deoxyribonucleosides degradation|g__Klebsiella.s__Klebsiella_quasipneumoniae	204.5861012917	MBM167
PWY0-1297: superpathway of purine deoxyribonucleosides degradation|g__Escherichia.s__Escherichia_fergusonii	1.1090719155	MBM167
PWY0-1297: superpathway of purine deoxyribonucleosides degradation|g__Klebsiella.s__Klebsiella_pneumoniae	1.0503500554	MBM167
PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I	988.7685029407	MBM167
PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I|g__Klebsiella.s__Klebsiella_quasipneumoniae	33.8684133325	MBM167
PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I|unclassified	17.428649815	MBM167
PWY0-166: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)	948.6215959254	MBM167
PWY0-166: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)|g__Klebsiella.s__Klebsiella_quasipneumoniae	33.4099253673	MBM167
PWY0-166: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)|unclassified	16.4028558263	MBM167
METHGLYUT-PWY: superpathway of methylglyoxal degradation	936.4580096095	MBM167
METHGLYUT-PWY: superpathway of methylglyoxal degradation|g__Escherichia.s__Escherichia_coli	69.0398522812	MBM167
PWY-5659: GDP-mannose biosynthesis	935.989764755	MBM167
PWY-5659: GDP-mannose biosynthesis|g__Escherichia.s__Escherichia_coli	563.364438071	MBM167
PWY-5659: GDP-mannose biosynthesis|unclassified	50.570146417	MBM167
PWY-5659: GDP-mannose biosynthesis|g__Klebsiella.s__Klebsiella_pneumoniae	23.1528358608	MBM167
PWY-5659: GDP-mannose biosynthesis|g__Klebsiella.s__Klebsiella_quasipneumoniae	10.436426972	MBM167
PWY0-845: superpathway of pyridoxal 5'-phosphate biosynthesis and salvage	917.6811428974	MBM167
PWY0-845: superpathway of pyridoxal 5'-phosphate biosynthesis and salvage|g__Escherichia.s__Escherichia_coli	742.1618714094	MBM167
PWY0-845: superpathway of pyridoxal 5'-phosphate biosynthesis and salvage|g__Klebsiella.s__Klebsiella_quasipneumoniae	16.078982445	MBM167
PWY-702: L-methionine biosynthesis II	900.9991828806	MBM167
PWY-702: L-methionine biosynthesis II|g__Escherichia.s__Escherichia_coli	149.3298260595	MBM167
PWY-702: L-methionine biosynthesis II|g__Klebsiella.s__Klebsiella_quasipneumoniae	61.74915894	MBM167
PWY-702: L-methionine biosynthesis II|unclassified	6.8963525452	MBM167
PWY0-1261: anhydromuropeptides recycling I	894.1448403568	MBM167
PWY0-1261: anhydromuropeptides recycling I|g__Escherichia.s__Escherichia_coli	594.2084025847	MBM167
PWY0-1261: anhydromuropeptides recycling I|unclassified	57.5997202209	MBM167
PWY0-1261: anhydromuropeptides recycling I|g__Klebsiella.s__Klebsiella_quasipneumoniae	16.9875283485	MBM167
PWY0-1261: anhydromuropeptides recycling I|g__Klebsiella.s__Klebsiella_pneumoniae	4.5301979622	MBM167
HISTSYN-PWY: L-histidine biosynthesis	856.3354691504	MBM167
HISTSYN-PWY: L-histidine biosynthesis|g__Escherichia.s__Escherichia_coli	566.2042652611	MBM167
HISTSYN-PWY: L-histidine biosynthesis|g__Klebsiella.s__Klebsiella_pneumoniae	32.8376963166	MBM167
HISTSYN-PWY: L-histidine biosynthesis|unclassified	12.6604391691	MBM167
HISTSYN-PWY: L-histidine biosynthesis|g__Klebsiella.s__Klebsiella_quasipneumoniae	9.2261821922	MBM167
PWY0-1479: tRNA processing	848.9090866286	MBM167
PWY0-1479: tRNA processing|g__Escherichia.s__Escherichia_coli	363.4137234646	MBM167
PWY0-1479: tRNA processing|g__Klebsiella.s__Klebsiella_pneumoniae	79.2156541742	MBM167
PWY0-1479: tRNA processing|g__Klebsiella.s__Klebsiella_quasipneumoniae	46.9882524019	MBM167
SULFATE-CYS-PWY: superpathway of sulfate assimilation and cysteine biosynthesis	839.9810422668	MBM167
SULFATE-CYS-PWY: superpathway of sulfate assimilation and cysteine biosynthesis|g__Escherichia.s__Escherichia_coli	650.5585708874	MBM167
PWY-8187: L-arginine degradation XIII (reductive Stickland reaction)	825.590949307	MBM167
PWY-8187: L-arginine degradation XIII (reductive Stickland reaction)|unclassified	320.6815601855	MBM167
PWY-8187: L-arginine degradation XIII (reductive Stickland reaction)|g__Escherichia.s__Escherichia_coli	291.003042196	MBM167
PWY-8187: L-arginine degradation XIII (reductive Stickland reaction)|g__Klebsiella.s__Klebsiella_pneumoniae	1.5004643524	MBM167
TRPSYN-PWY: L-tryptophan biosynthesis	823.0539595878	MBM167
TRPSYN-PWY: L-tryptophan biosynthesis|g__Escherichia.s__Escherichia_coli	660.8935697106	MBM167
TRPSYN-PWY: L-tryptophan biosynthesis|unclassified	82.1345173969	MBM167
TRPSYN-PWY: L-tryptophan biosynthesis|g__Escherichia.s__Escherichia_fergusonii	8.2153491009	MBM167
TRPSYN-PWY: L-tryptophan biosynthesis|g__Klebsiella.s__Klebsiella_quasipneumoniae	4.9543097426	MBM167
GALACTARDEG-PWY: D-galactarate degradation I	816.3916694185	MBM167
GALACTARDEG-PWY: D-galactarate degradation I|g__Escherichia.s__Escherichia_coli	783.2650846644	MBM167
GALACTARDEG-PWY: D-galactarate degradation I|unclassified	9.6653503533	MBM167
GALACTARDEG-PWY: D-galactarate degradation I|g__Klebsiella.s__Klebsiella_quasipneumoniae	4.8605275946	MBM167
GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation	816.3916694185	MBM167
GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation|g__Escherichia.s__Escherichia_coli	783.2650846644	MBM167
GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation|unclassified	9.6653503533	MBM167
GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation|g__Klebsiella.s__Klebsiella_quasipneumoniae	4.8605275946	MBM167
PWY-6630: superpathway of L-tyrosine biosynthesis	801.7512647868	MBM167
PWY-6630: superpathway of L-tyrosine biosynthesis|g__Escherichia.s__Escherichia_coli	586.6347333165	MBM167
P441-PWY: superpathway of N-acetylneuraminate degradation	777.68168794	MBM167
P441-PWY: superpathway of N-acetylneuraminate degradation|g__Escherichia.s__Escherichia_coli	429.359694177	MBM167
P441-PWY: superpathway of N-acetylneuraminate degradation|unclassified	13.7422706135	MBM167
PWY-6270: isoprene biosynthesis I	760.9370456294	MBM167
PWY-6270: isoprene biosynthesis I|g__Escherichia.s__Escherichia_coli	216.5787567005	MBM167
P105-PWY: TCA cycle IV (2-oxoglutarate decarboxylase)	753.2368063872	MBM167
P105-PWY: TCA cycle IV (2-oxoglutarate decarboxylase)|g__Escherichia.s__Escherichia_coli	658.2107217005	MBM167
P105-PWY: TCA cycle IV (2-oxoglutarate decarboxylase)|unclassified	59.4758688812	MBM167
PWY66-409: superpathway of purine nucleotide salvage	743.0912549827	MBM167
PWY-5918: superpathway of heme b biosynthesis from glutamate	741.63827305	MBM167
PWY-5918: superpathway of heme b biosynthesis from glutamate|g__Escherichia.s__Escherichia_coli	652.7667524903	MBM167
PWY-6353: purine nucleotides degradation II (aerobic)	740.7790109656	MBM167
PWY-6353: purine nucleotides degradation II (aerobic)|g__Escherichia.s__Escherichia_coli	393.8119601045	MBM167
PWY-6992: 1,5-anhydrofructose degradation	732.4371471927	MBM167
PYRIDOXSYN-PWY: pyridoxal 5'-phosphate biosynthesis I	729.8419604695	MBM167
PYRIDOXSYN-PWY: pyridoxal 5'-phosphate biosynthesis I|g__Escherichia.s__Escherichia_coli	540.3961570581	MBM167
PYRIDOXSYN-PWY: pyridoxal 5'-phosphate biosynthesis I|unclassified	32.5036691155	MBM167
PYRIDOXSYN-PWY: pyridoxal 5'-phosphate biosynthesis I|g__Klebsiella.s__Klebsiella_quasipneumoniae	18.795183916	MBM167
PWY-2942: L-lysine biosynthesis III	727.0135084727	MBM167
PWY-2942: L-lysine biosynthesis III|g__Bacteroides.s__Bacteroides_fragilis	60.8247219584	MBM167
PANTO-PWY: phosphopantothenate biosynthesis I	724.0358196452	MBM167
PANTO-PWY: phosphopantothenate biosynthesis I|g__Escherichia.s__Escherichia_coli	415.5642102042	MBM167
PANTO-PWY: phosphopantothenate biosynthesis I|g__Klebsiella.s__Klebsiella_quasipneumoniae	89.0431401369	MBM167
PANTO-PWY: phosphopantothenate biosynthesis I|unclassified	32.35978374	MBM167
PANTO-PWY: phosphopantothenate biosynthesis I|g__Bacteroides.s__Bacteroides_fragilis	30.3479713228	MBM167
PANTO-PWY: phosphopantothenate biosynthesis I|g__Klebsiella.s__Klebsiella_pneumoniae	2.4824349252	MBM167
P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate	721.4104708807	MBM167
P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate|g__Escherichia.s__Escherichia_coli	247.0270731424	MBM167
P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate|unclassified	7.0387811832	MBM167
P122-PWY: heterolactic fermentation	698.6923308475	MBM167
PWY0-1298: superpathway of pyrimidine deoxyribonucleosides degradation	695.383700755	MBM167
PWY0-1298: superpathway of pyrimidine deoxyribonucleosides degradation|g__Escherichia.s__Escherichia_coli	311.8626876271	MBM167
PWY0-1298: superpathway of pyrimidine deoxyribonucleosides degradation|g__Klebsiella.s__Klebsiella_quasipneumoniae	71.0011170595	MBM167
PWY0-1298: superpathway of pyrimidine deoxyribonucleosides degradation|unclassified	4.846110286	MBM167
PWY0-1298: superpathway of pyrimidine deoxyribonucleosides degradation|g__Klebsiella.s__Klebsiella_pneumoniae	0.8730717724	MBM167
COA-PWY: coenzyme A biosynthesis I (prokaryotic)	686.7641398415	MBM167
COA-PWY: coenzyme A biosynthesis I (prokaryotic)|g__Escherichia.s__Escherichia_coli	373.2205424813	MBM167
COA-PWY: coenzyme A biosynthesis I (prokaryotic)|g__Escherichia.s__Escherichia_fergusonii	74.1184220044	MBM167
COA-PWY: coenzyme A biosynthesis I (prokaryotic)|unclassified	44.8902194238	MBM167
COA-PWY: coenzyme A biosynthesis I (prokaryotic)|g__Bacteroides.s__Bacteroides_fragilis	22.7901350221	MBM167
COA-PWY: coenzyme A biosynthesis I (prokaryotic)|g__Klebsiella.s__Klebsiella_quasipneumoniae	22.2033681642	MBM167
COA-PWY: coenzyme A biosynthesis I (prokaryotic)|g__Klebsiella.s__Klebsiella_pneumoniae	18.5841825256	MBM167
PWY-6936: seleno-amino acid biosynthesis (plants)	679.9001141284	MBM167
PWY-6936: seleno-amino acid biosynthesis (plants)|g__Escherichia.s__Escherichia_coli	73.2750981405	MBM167
PWY-6936: seleno-amino acid biosynthesis (plants)|unclassified	34.1909348918	MBM167
PWY-6385: peptidoglycan biosynthesis III (mycobacteria)	671.4161245153	MBM167
PWY-6385: peptidoglycan biosynthesis III (mycobacteria)|g__Escherichia.s__Escherichia_coli	489.7836586655	MBM167
PWY-6385: peptidoglycan biosynthesis III (mycobacteria)|unclassified	45.1953611444	MBM167
HEMESYN2-PWY: heme b biosynthesis II (oxygen-independent)	662.6613302159	MBM167
HEMESYN2-PWY: heme b biosynthesis II (oxygen-independent)|g__Escherichia.s__Escherichia_coli	614.4433835378	MBM167
HEMESYN2-PWY: heme b biosynthesis II (oxygen-independent)|g__Klebsiella.s__Klebsiella_quasipneumoniae	57.2741119921	MBM167
HEMESYN2-PWY: heme b biosynthesis II (oxygen-independent)|g__Klebsiella.s__Klebsiella_pneumoniae	37.1423278428	MBM167
HEMESYN2-PWY: heme b biosynthesis II (oxygen-independent)|g__Escherichia.s__Escherichia_fergusonii	7.4420903612	MBM167
HEMESYN2-PWY: heme b biosynthesis II (oxygen-independent)|unclassified	4.7246618889	MBM167
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	659.4629809266	MBM167
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|g__Escherichia.s__Escherichia_coli	464.5017841304	MBM167
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|unclassified	48.6919638082	MBM167
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|g__Klebsiella.s__Klebsiella_quasipneumoniae	7.1563838482	MBM167
CITRULBIO-PWY: L-citrulline biosynthesis	640.8512615699	MBM167
CITRULBIO-PWY: L-citrulline biosynthesis|g__Escherichia.s__Escherichia_coli	349.923412204	MBM167
CITRULBIO-PWY: L-citrulline biosynthesis|unclassified	115.6603103097	MBM167
CITRULBIO-PWY: L-citrulline biosynthesis|g__Klebsiella.s__Klebsiella_pneumoniae	1.6899091101	MBM167
PWY-6803: phosphatidylcholine acyl editing	624.1776850915	MBM167
PWY-6803: phosphatidylcholine acyl editing|g__Klebsiella.s__Klebsiella_quasipneumoniae	193.6187978847	MBM167
PWY-6803: phosphatidylcholine acyl editing|g__Escherichia.s__Escherichia_coli	167.8795114449	MBM167
PWY-6803: phosphatidylcholine acyl editing|unclassified	73.5955898395	MBM167
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)	624.0574827216	MBM167
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Escherichia.s__Escherichia_coli	465.3804099491	MBM167
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|unclassified	32.3500456395	MBM167
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	596.7064876672	MBM167
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|g__Escherichia.s__Escherichia_coli	426.7876817663	MBM167
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|unclassified	34.3552502405	MBM167
PWY-7953: UDP-N-acetylmuramoyl-pentapeptide biosynthesis III (meso-diaminopimelate containing)	595.3581222113	MBM167
PWY-7953: UDP-N-acetylmuramoyl-pentapeptide biosynthesis III (meso-diaminopimelate containing)|g__Escherichia.s__Escherichia_coli	455.8720261937	MBM167
PWY-7953: UDP-N-acetylmuramoyl-pentapeptide biosynthesis III (meso-diaminopimelate containing)|unclassified	28.7397860985	MBM167
PANTOSYN-PWY: superpathway of coenzyme A biosynthesis I (bacteria)	591.7624917637	MBM167
PANTOSYN-PWY: superpathway of coenzyme A biosynthesis I (bacteria)|g__Escherichia.s__Escherichia_coli	235.9599184195	MBM167
PANTOSYN-PWY: superpathway of coenzyme A biosynthesis I (bacteria)|unclassified	30.9834128552	MBM167
PANTOSYN-PWY: superpathway of coenzyme A biosynthesis I (bacteria)|g__Klebsiella.s__Klebsiella_quasipneumoniae	28.2721845512	MBM167
PANTOSYN-PWY: superpathway of coenzyme A biosynthesis I (bacteria)|g__Bacteroides.s__Bacteroides_fragilis	21.4112204869	MBM167
PANTOSYN-PWY: superpathway of coenzyme A biosynthesis I (bacteria)|g__Klebsiella.s__Klebsiella_pneumoniae	4.3719924503	MBM167
P4-PWY: superpathway of L-lysine, L-threonine and L-methionine biosynthesis I	582.6258861366	MBM167
P4-PWY: superpathway of L-lysine, L-threonine and L-methionine biosynthesis I|g__Escherichia.s__Escherichia_coli	136.2796264244	MBM167
PWY0-1415: superpathway of heme b biosynthesis from uroporphyrinogen-III	557.518720025	MBM167
PWY0-1415: superpathway of heme b biosynthesis from uroporphyrinogen-III|g__Escherichia.s__Escherichia_coli	478.264882764	MBM167
PWY0-1415: superpathway of heme b biosynthesis from uroporphyrinogen-III|g__Klebsiella.s__Klebsiella_quasipneumoniae	21.0015216074	MBM167
PWY0-1415: superpathway of heme b biosynthesis from uroporphyrinogen-III|g__Escherichia.s__Escherichia_fergusonii	5.7795112829	MBM167
PWY0-1415: superpathway of heme b biosynthesis from uroporphyrinogen-III|unclassified	5.5209849752	MBM167
PWY0-1415: superpathway of heme b biosynthesis from uroporphyrinogen-III|g__Klebsiella.s__Klebsiella_pneumoniae	4.7688425901	MBM167
PWY-6519: 8-amino-7-oxononanoate biosynthesis I	548.207299856	MBM167
PWY-6519: 8-amino-7-oxononanoate biosynthesis I|g__Escherichia.s__Escherichia_coli	317.8062264106	MBM167
PWY-6519: 8-amino-7-oxononanoate biosynthesis I|unclassified	13.62035343	MBM167
PWY-7208: superpathway of pyrimidine nucleobases salvage	538.3482924459	MBM167
PWY-7208: superpathway of pyrimidine nucleobases salvage|g__Bacteroides.s__Bacteroides_fragilis	128.9520783898	MBM167
PWY-7208: superpathway of pyrimidine nucleobases salvage|unclassified	61.6797583179	MBM167
PWY-7208: superpathway of pyrimidine nucleobases salvage|g__Klebsiella.s__Klebsiella_quasipneumoniae	25.1859327127	MBM167
PWY-7208: superpathway of pyrimidine nucleobases salvage|g__Klebsiella.s__Klebsiella_pneumoniae	12.3998655579	MBM167
SALVADEHYPOX-PWY: adenosine nucleotides degradation II	538.2845123554	MBM167
SALVADEHYPOX-PWY: adenosine nucleotides degradation II|g__Escherichia.s__Escherichia_coli	287.3698643387	MBM167
SALVADEHYPOX-PWY: adenosine nucleotides degradation II|unclassified	48.5223102648	MBM167
SO4ASSIM-PWY: assimilatory sulfate reduction I	538.2618435668	MBM167
SO4ASSIM-PWY: assimilatory sulfate reduction I|g__Escherichia.s__Escherichia_coli	434.519379999	MBM167
HEME-BIOSYNTHESIS-II-1: heme b biosynthesis V (aerobic)	533.9443168901	MBM167
HEME-BIOSYNTHESIS-II-1: heme b biosynthesis V (aerobic)|g__Escherichia.s__Escherichia_coli	444.244478336	MBM167
HEME-BIOSYNTHESIS-II-1: heme b biosynthesis V (aerobic)|g__Klebsiella.s__Klebsiella_quasipneumoniae	21.465262977	MBM167
HEME-BIOSYNTHESIS-II-1: heme b biosynthesis V (aerobic)|unclassified	8.8586749799	MBM167
HEME-BIOSYNTHESIS-II-1: heme b biosynthesis V (aerobic)|g__Escherichia.s__Escherichia_fergusonii	5.3260643114	MBM167
HEME-BIOSYNTHESIS-II-1: heme b biosynthesis V (aerobic)|g__Klebsiella.s__Klebsiella_pneumoniae	4.7617150437	MBM167
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	514.9840852163	MBM167
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Klebsiella.s__Klebsiella_quasipneumoniae	107.3851525579	MBM167
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Escherichia.s__Escherichia_coli	99.4790666735	MBM167
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|unclassified	72.6514061726	MBM167
ARGININE-SYN4-PWY: L-ornithine biosynthesis II	514.9372274658	MBM167
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Escherichia.s__Escherichia_coli	366.7067266705	MBM167
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|unclassified	53.1715029776	MBM167
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Klebsiella.s__Klebsiella_pneumoniae	2.1752209948	MBM167
PWY-7851: coenzyme A biosynthesis II (eukaryotic)	507.7527578378	MBM167
PWY-7851: coenzyme A biosynthesis II (eukaryotic)|g__Escherichia.s__Escherichia_coli	161.3346640153	MBM167
PWY-7851: coenzyme A biosynthesis II (eukaryotic)|unclassified	39.6893178359	MBM167
PWY-7851: coenzyme A biosynthesis II (eukaryotic)|g__Klebsiella.s__Klebsiella_quasipneumoniae	20.2117306237	MBM167
PWY-7851: coenzyme A biosynthesis II (eukaryotic)|g__Klebsiella.s__Klebsiella_pneumoniae	18.5841825256	MBM167
PWY-7851: coenzyme A biosynthesis II (eukaryotic)|g__Bacteroides.s__Bacteroides_fragilis	12.4221107864	MBM167
PWY-5121: superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)	505.9087166802	MBM167
PWY-5121: superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)|g__Escherichia.s__Escherichia_coli	100.8632577991	MBM167
PWY-7400: L-arginine biosynthesis IV (archaebacteria)	502.1890846066	MBM167
PWY-7400: L-arginine biosynthesis IV (archaebacteria)|g__Klebsiella.s__Klebsiella_quasipneumoniae	106.1939790386	MBM167
PWY-7400: L-arginine biosynthesis IV (archaebacteria)|g__Escherichia.s__Escherichia_coli	75.5331829158	MBM167
PWY-6700: queuosine biosynthesis I (de novo)	501.6742313753	MBM167
PWY-6700: queuosine biosynthesis I (de novo)|g__Escherichia.s__Escherichia_coli	364.8683550528	MBM167
PWY-6700: queuosine biosynthesis I (de novo)|g__Bacteroides.s__Bacteroides_fragilis	45.1383902795	MBM167
PWY-6700: queuosine biosynthesis I (de novo)|g__Klebsiella.s__Klebsiella_quasipneumoniae	23.1759108173	MBM167
PWY-6700: queuosine biosynthesis I (de novo)|g__Klebsiella.s__Klebsiella_pneumoniae	6.9967799874	MBM167
PWY-6700: queuosine biosynthesis I (de novo)|g__Escherichia.s__Escherichia_fergusonii	3.9171294929	MBM167
PWY-5981: CDP-diacylglycerol biosynthesis III	494.7580012385	MBM167
PWY-5981: CDP-diacylglycerol biosynthesis III|g__Escherichia.s__Escherichia_coli	114.7551743423	MBM167
PWY-5981: CDP-diacylglycerol biosynthesis III|g__Klebsiella.s__Klebsiella_pneumoniae	44.5919882032	MBM167
PWY-5981: CDP-diacylglycerol biosynthesis III|g__Klebsiella.s__Klebsiella_quasipneumoniae	31.0510062892	MBM167
GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronosides degradation	484.5258501265	MBM167
GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronosides degradation|g__Escherichia.s__Escherichia_coli	199.1006367308	MBM167
PWY-7242: D-fructuronate degradation	483.7117658903	MBM167
PWY-7242: D-fructuronate degradation|g__Escherichia.s__Escherichia_coli	156.0743121598	MBM167
PWY-7242: D-fructuronate degradation|g__Klebsiella.s__Klebsiella_pneumoniae	79.52469165	MBM167
PWY-7761: NAD salvage pathway II (PNC IV cycle)	468.663645323	MBM167
PWY-7761: NAD salvage pathway II (PNC IV cycle)|g__Escherichia.s__Escherichia_coli	164.7855902022	MBM167
PWY-7761: NAD salvage pathway II (PNC IV cycle)|g__Klebsiella.s__Klebsiella_pneumoniae	12.8181785581	MBM167
P161-PWY: acetylene degradation (anaerobic)	466.0226986873	MBM167
P161-PWY: acetylene degradation (anaerobic)|g__Klebsiella.s__Klebsiella_quasipneumoniae	108.6537550655	MBM167
P161-PWY: acetylene degradation (anaerobic)|g__Escherichia.s__Escherichia_coli	91.3163598803	MBM167
P161-PWY: acetylene degradation (anaerobic)|unclassified	5.3257559578	MBM167
P161-PWY: acetylene degradation (anaerobic)|g__Klebsiella.s__Klebsiella_pneumoniae	0.7881901608	MBM167
P161-PWY: acetylene degradation (anaerobic)|g__Escherichia.s__Escherichia_fergusonii	0.4541669821	MBM167
PWY0-1477: ethanolamine utilization	466.0226986873	MBM167
PWY0-1477: ethanolamine utilization|g__Escherichia.s__Escherichia_coli	129.0452523579	MBM167
PWY0-1477: ethanolamine utilization|g__Klebsiella.s__Klebsiella_quasipneumoniae	108.6537550655	MBM167
PWY0-1477: ethanolamine utilization|unclassified	12.0851585076	MBM167
PWY0-1477: ethanolamine utilization|g__Klebsiella.s__Klebsiella_aerogenes	1.5971710991	MBM167
PWY0-1477: ethanolamine utilization|g__Klebsiella.s__Klebsiella_pneumoniae	0.7881901608	MBM167
PWY0-1477: ethanolamine utilization|g__Escherichia.s__Escherichia_fergusonii	0.4541669821	MBM167
PWY-6608: guanosine nucleotides degradation III	456.1407853899	MBM167
PWY-6608: guanosine nucleotides degradation III|g__Escherichia.s__Escherichia_coli	239.7876831529	MBM167
PWY-6608: guanosine nucleotides degradation III|unclassified	42.4079884954	MBM167
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	453.4501419135	MBM167
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I|g__Escherichia.s__Escherichia_coli	274.344515247	MBM167
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I|unclassified	15.3413065916	MBM167
COLANSYN-PWY: colanic acid building blocks biosynthesis	447.6733520767	MBM167
PWY0-781: aspartate superpathway	442.7951201466	MBM167
LACTOSECAT-PWY: lactose and galactose degradation I	433.1505357064	MBM167
LACTOSECAT-PWY: lactose and galactose degradation I|unclassified	151.9064448089	MBM167
PWY-5686: UMP biosynthesis I	428.9807446476	MBM167
PWY-5686: UMP biosynthesis I|g__Bacteroides.s__Bacteroides_fragilis	152.0892162862	MBM167
PWY-5686: UMP biosynthesis I|g__Escherichia.s__Escherichia_coli	43.3257263755	MBM167
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	427.9175040395	MBM167
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Klebsiella.s__Klebsiella_quasipneumoniae	88.6492405867	MBM167
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Escherichia.s__Escherichia_coli	76.6356480248	MBM167
PWY-841: superpathway of purine nucleotides de novo biosynthesis I	427.0676344731	MBM167
PWY-841: superpathway of purine nucleotides de novo biosynthesis I|unclassified	36.2511158877	MBM167
PWY-5347: superpathway of L-methionine biosynthesis (transsulfuration)	422.8853341384	MBM167
PWY-5347: superpathway of L-methionine biosynthesis (transsulfuration)|g__Escherichia.s__Escherichia_coli	154.8610738718	MBM167
PWY-5347: superpathway of L-methionine biosynthesis (transsulfuration)|unclassified	42.7925318906	MBM167
HEME-BIOSYNTHESIS-II: heme b biosynthesis I (aerobic)	415.3110777894	MBM167
