species	MHS340	MHS348	MHS420	MHS431	MHS602
Acinetobacter radioresistens	    74	    1	0	     4	    16
Acinetobacter cumulans	    51	    3	0	0	    12
Acinetobacter towneri	    41	    5	0	     4	     8
Acinetobacter pseudolwoffii	    34	0	0	0	0
Acinetobacter gyllenbergii	    28	    1	0	0	     6
Acinetobacter septicus	    23	0	0	0	     9
Acinetobacter venetianus	    21	    1	0	     4	     2
Acinetobacter ursingii	    11	    3	0	    13	    16
Acinetobacter chinensis	    11	    1	0	     2	     3
Acinetobacter variabilis	    11	    5	0	0	    11
Acinetobacter tandoii	     5	0	0	     1	0
Acinetobacter piscicola	     5	0	0	0	     1
Acinetobacter baylyi	     3	0	0	0	0
Acinetobacter lanii	     3	0	0	0	0
Acinetobacter equi	     2	    1	0	     1	    11
Acinetobacter larvae	     1	0	0	0	     1
Acinetobacter dispersus	     1	    1	0	     5	     5
Acinetobacter bereziniae	     1	0	0	     2	     1
Acinetobacter soli	     1	0	0	     9	     8
Moraxella osloensis	  1334	   39	0	   693	  5392
Psychrobacter sp. YP14	     8	0	0	     1	     1
Psychrobacter sp. DAB_AL43B	     1	0	0	     1	     4
Psychrobacter arcticus	     1	0	0	0	0
Aquirhabdus parva	     1	0	0	0	0
Klebsiella pneumoniae	   199	  114	0	  1031	 42954
Klebsiella grimontii	   172	   10	0	   471	  2134
Klebsiella michiganensis	    66	0	0	     3	    12
Klebsiella aerogenes	    19	0	0	    19	   155
Klebsiella sp. STW0522-44	     4	0	0	0	0
Klebsiella variicola	    15	    1	0	     7	     1
Klebsiella oxytoca	     7	0	0	     6	     4
Klebsiella quasipneumoniae	     3	0	0	     4	    10
Klebsiella huaxiensis	     1	0	0	0	     1
Klebsiella africana	     1	0	0	0	0
Escherichia coli	   277	   14	0	    29	   169
Escherichia albertii	     7	0	0	     2	     6
Escherichia sp. E4742	     5	0	0	     2	     1
Escherichia fergusonii	     4	0	0	0	     3
Escherichia marmotae	     4	0	0	0	0
Enterobacter asburiae	    37	0	0	0	    11
Enterobacter kobei	    15	0	0	0	     8
Enterobacter hormaechei	    12	0	0	     2	    17
Enterobacter cloacae	     8	0	0	     2	    16
Enterobacter roggenkampii	     5	0	0	    13	    52
Enterobacter cloacae complex sp.	     2	0	0	0	    13
Enterobacter cancerogenus	     1	0	0	0	    14
Enterobacter chuandaensis	     1	0	0	0	0
Enterobacter sp. JUb54	     3	0	0	0	     1
Enterobacter sp. SA187	     3	0	0	     2	0
Enterobacter sp. E76	     1	0	0	0	     5
Enterobacter sp. RHBSTW-00175	     1	0	0	0	     1
Enterobacter bugandensis	     1	0	0	0	0
Salmonella enterica	    45	    1	0	    77	   107
Salmonella bongori	    19	0	0	0	0
Salmonella sp.	     1	0	0	0	     6
Kluyvera intermedia	    56	0	0	0	0
Cronobacter sakazakii	    37	    2	0	0	    22
Cronobacter malonaticus	     1	0	0	     1	     3
Citrobacter freundii	     3	0	0	0	     1
Citrobacter braakii	     1	0	0	0	0
Citrobacter rodentium	     2	    2	0	0	     1
Leclercia adecarboxylata	    13	0	0	     1	     2
Lelliottia amnigena	    15	0	0	0	     2
Pluralibacter gergoviae	    11	0	0	    25	    16
[Enterobacter] lignolyticus	     2	0	0	0	     7
Shigella dysenteriae	     5	0	0	0	     2
Shigella flexneri	     5	0	0	     3	0
Shigella boydii	     2	0	0	0	0
Buttiauxella agrestis	    10	0	0	0	0
Buttiauxella sp. 3AFRM03	     1	    3	0	     7	     6
Kosakonia cowanii	     6	0	0	0	0
Raoultella terrigena	     1	0	0	0	     1
Cedecea neteri	     2	0	0	     1	    15
Scandinavium goeteborgense	     1	0	0	0	     6
Candidatus Symbiopectobacterium sp. SyEd1	     1	    5	0	0	     1
Atlantibacter hermannii	     1	0	0	     2	    19
Shimwellia blattae	     1	0	0	0	0
Serratia marcescens	   101	    1	0	    25	    40
Serratia grimesii	    43	0	0	     5	     1
Serratia nematodiphila	    22	0	0	0	0
Serratia liquefaciens	    17	0	0	     8	    13
Serratia fonticola	    10	0	0	0	    14
Serratia symbiotica	     4	0	0	0	     6
Serratia surfactantfaciens	     3	0	0	0	     2
Serratia quinivorans	     2	0	0	0	0
Serratia proteamaculans	     1	0	0	0	0
Serratia sp. FGI94	     1	0	0	0	0
Yersinia enterocolitica	    31	0	0	     3	     4
Yersinia rohdei	     3	0	0	0	     8
Rahnella sp. Y9602	     3	0	0	0	0
Rahnella sp. ERMR1:05	     1	0	0	0	     2
Nissabacter sp. SGAir0207	     7	    3	0	0	    19
Erwinia sp. E602	    24	0	0	0	    10
Erwinia amylovora	    10	0	0	0	0
Erwinia billingiae	     4	0	0	0	0
Erwinia gerundensis	     3	0	0	0	     2
Pantoea agglomerans	     3	0	0	   151	    13
Pantoea ananatis	     1	0	0	0	    12
Mixta gaviniae	    15	0	0	     3	0
Mixta calida	     2	0	0	0	     1
Mixta theicola	     1	0	0	0	0
Tatumella ptyseos	     3	0	0	0	     3
Buchnera aphidicola	     1	0	0	0	     6
Providencia rettgeri	     7	0	0	     1	     2
Xenorhabdus poinarii	    23	0	0	0	0
Xenorhabdus bovienii	     1	0	0	0	     1
Arsenophonus nasoniae	    16	0	0	0	0
Morganella morganii	     3	0	0	     2	     7
Proteus mirabilis	     2	    5	0	0	    13
Plesiomonas shigelloides	    25	    5	0	     8	     6
Edwardsiella hoshinae	     2	0	0	0	0
Edwardsiella tarda	     1	0	0	0	     2
Edwardsiella ictaluri	     1	0	0	0	     2
Dickeya dianthicola	     8	0	0	0	    11
Dickeya sp. NCPPB 3274	     2	0	0	0	0
Dickeya fangzhongdai	     1	0	0	0	    15
Brenneria goodwinii	     3	0	0	0	    12
Pectobacterium parmentieri	     1	0	0	     1	     1
Stenotrophomonas maltophilia	   648	   11	0	    92	   650
Stenotrophomonas sp. SAU14A_NAIMI4_5	    15	0	0	0	0
Stenotrophomonas sp. YAU14D1_LEIMI4_1	     2	0	0	0	     3
Stenotrophomonas sp. ZAC14D2_NAIMI4_7	     1	0	0	0	    18
Stenotrophomonas sp. ESTM1D_MKCIP4_1	     1	0	0	     4	     3
Stenotrophomonas sp. LM091	    31	    3	0	     1	    15
Stenotrophomonas sp. 169	    14	0	0	0	    33
Stenotrophomonas sp. 364	     2	0	0	     2	     1
Stenotrophomonas sp. CW117	     2	    1	0	0	     6
Stenotrophomonas sp. MYb57	     1	0	0	0	     6
Stenotrophomonas rhizophila	    36	    1	0	     2	    45
Stenotrophomonas acidaminiphila	    18	   11	0	     2	    39
Lysobacter enzymogenes	   223	    2	0	     6	    63
Lysobacter capsici	    34	0	0	0	    48
Lysobacter sp. CECT 30171	    17	0	0	     4	0
Lysobacter sp. K5869	    16	0	0	     3	     7
Lysobacter maris	    31	0	0	     2	    16
Lysobacter soli	    18	    2	0	0	     2
Lysobacter gummosus	    12	0	0	     1	    18
Lysobacter solisilvae (ex Kim et al. 2021)	     9	0	0	     1	     5
Lysobacter alkalisoli	     6	0	0	     2	0
Lysobacter arenosi	     3	0	0	     1	    27
Lysobacter lycopersici	     2	0	0	0	     4
Lysobacter oculi	     2	0	0	     2	    26
Lysobacter solisilvae (ex Woo and Kim 2020)	     1	0	0	0	     3
Xanthomonas campestris	    73	    8	0	    56	   980
Xanthomonas sacchari	    24	    4	0	0	     7
Xanthomonas albilineans	    21	0	0	0	     3
Xanthomonas euvesicatoria	    14	    2	0	    44	  1538
Xanthomonas hortorum	     9	0	0	     1	    20
Xanthomonas hyacinthi	     7	0	0	     3	    18
Xanthomonas sp. SS	     4	0	0	0	     1
Xanthomonas sp. SI	     1	0	0	0	     1
Xanthomonas citri	     7	0	0	0	    45
Xanthomonas translucens	     5	    1	0	0	    11
Xanthomonas cucurbitae	     2	0	0	0	0
Xanthomonas fragariae	     2	0	0	0	0
Xanthomonas oryzae	     2	0	0	     1	    32
Xanthomonas euroxanthea	     2	0	0	0	     1
Xanthomonas cassavae	     1	0	0	0	     1
Xanthomonas arboricola	     1	0	0	0	   117
Xanthomonas vesicatoria	     1	0	0	0	     1
Xanthomonas theicola	     1	0	0	0	     6
Pseudoxanthomonas mexicana	    67	    3	0	    16	    51
Pseudoxanthomonas spadix	    65	    2	0	0	    13
Pseudoxanthomonas suwonensis	    39	0	0	     5	    27
Pseudoxanthomonas sp. X-1	     4	    5	0	    12	    52
Thermomonas sp. SY21	    56	0	0	     2	    18
Thermomonas sp. XSG	    52	    1	0	     2	     7
Thermomonas sp. HDW16	    12	0	0	0	     3
Thermomonas brevis	     2	    1	0	     4	    10
Thermomonas carbonis	     2	0	0	     1	     1
Luteimonas sp. MC1825	    56	0	0	0	     2
Luteimonas sp. YGD11-2	     8	    2	0	     1	    18
Luteimonas sp. JM171	     4	    1	0	0	     2
Luteimonas sp. MC1750	     1	    1	0	     1	    19
Luteimonas yindakuii	     5	0	0	     1	     7
Luteimonas chenhongjianii	     2	    3	0	0	     9
Pseudolysobacter antarcticus	     5	0	0	     3	     3
Arenimonas daejeonensis	     3	0	0	0	     1
Luteibacter pinisoli	    56	0	0	     1	    19
Dyella japonica	    21	0	0	0	     9
Dyella sp. G9	     1	0	0	0	     2
Dokdonella koreensis	     2	    2	0	     2	    37
Rhodanobacter denitrificans	     1	    2	0	0	     4
Aerosticca soli	     1	0	0	     1	     3
Aeromonas sp. ASNIH1	    36	0	0	0	0
Aeromonas sp.	    28	0	0	0	0
Aeromonas sp. FDAARGOS 1415	     7	0	0	0	     5
Aeromonas sp. CA23	     4	0	0	0	    20
Aeromonas sp. 2692-1	     3	0	0	0	0
Aeromonas sp. ASNIH5	     2	0	0	0	0
Aeromonas sp. ASNIH4	     1	0	0	0	     1
Aeromonas sp. FDAARGOS 1411	     1	0	0	0	0
Aeromonas sp. FDAARGOS 1402	     1	    2	0	0	0
Aeromonas caviae	    85	   17	0	     2	    30
Aeromonas media	    35	    1	0	0	    12
Aeromonas sanarellii	    30	    1	0	0	0
Aeromonas simiae	    22	    2	0	0	     2
Aeromonas veronii	    18	0	0	0	    27
Aeromonas hydrophila	    18	    1	0	0	    14
Aeromonas salmonicida	     9	0	0	0	     1
Aeromonas rivuli	     5	    1	0	0	0
Aeromonas dhakensis	     4	    3	0	     6	0
Aeromonas enteropelogenes	     3	0	0	0	0
Aeromonas encheleia	     3	0	0	     1	    12
Aeromonas sobria	     1	0	0	0	0
Aeromonas rivipollensis	     1	0	0	0	     4
Zobellella denitrificans	     2	0	0	0	     3
Oceanimonas sp. GK1	     1	0	0	0	     3
Cellvibrio sp. KY-GH-1	   170	   25	0	     5	     5
Cellvibrio sp. PSBB023	    32	    2	0	     1	0
Cellvibrio sp. KY-YJ-3	    13	    5	0	     2	     3
Cellvibrio japonicus	    16	0	0	0	0
Halioglobus maricola	    30	0	0	0	0
Kineobactrum salinum	     1	0	0	0	0
Microbulbifer sp. GL-2	     1	0	0	0	     1
Microbulbifer sp. YPW1	     1	0	0	     1	0
Microbulbifer agarilyticus	     1	0	0	0	0
Rheinheimera sp. LHK132	   111	   19	0	     2	    16
Rheinheimera sp. F8	    10	   15	0	     1	     1
Caldichromatium japonicum	    11	0	0	0	    12
Candidatus Thiodictyon syntrophicum	     5	0	0	0	     2
Marichromatium purpuratum	     4	0	0	     1	     6
Thioflavicoccus mobilis	     1	0	0	     1	     5
Thioalkalivibrio sp. K90mix	    10	0	0	0	     4
Thioalkalivibrio paradoxus	     2	    2	0	0	     2
Thioalkalivibrio versutus	     1	0	0	0	     6
Thioalkalivibrio nitratireducens	     1	0	0	0	     4
Thioalkalivibrio sulfidiphilus	     1	0	0	0	     8
Acidihalobacter yilgarnenesis	    12	0	0	0	0
Halorhodospira halophila	     1	0	0	0	     5
Alkalilimnicola ehrlichii	     1	0	0	0	0
Spiribacter curvatus	     1	0	0	0	0
Sulfuriflexus mobilis	     1	0	0	0	     1
Pseudoalteromonas ulvae	    59	0	0	0	0
Pseudoalteromonas piratica	     3	0	0	0	0
Pseudoalteromonas espejiana	     1	0	0	0	0
Pseudoalteromonas luteoviolacea	     1	0	0	0	0
Psychrosphaera sp. MTZ26	     1	0	0	0	0
Alteromonas sp. RKMC-009	    14	0	0	0	     1
Alteromonas sp. B31-7	     1	0	0	0	0
Alteromonas macleodii	    13	0	0	0	     1
Marinobacter salarius	     5	0	0	0	     4
Marinobacter sp. CP1	     1	0	0	0	0
Marinobacter sp. Arc7-DN-1	     1	0	0	0	     4
Marinobacter salsuginis	     2	    1	0	0	0
Catenovulum sediminis	     7	0	0	     1	     4
Hydrocarboniclastica marina	     2	0	0	0	     1
Shewanella sp. WPAGA9	     6	0	0	0	0
Shewanella sp. FJAT-51754	     2	0	0	0	0
Shewanella sp. FJAT-51800	     1	0	0	0	0
Shewanella sp. FJAT-53870	     1	0	0	0	0
Shewanella baltica	     3	0	0	     3	     1
Shewanella halifaxensis	     1	0	0	0	0
Shewanella maritima	     1	0	0	     1	0
Shewanella chilikensis	     1	0	0	0	     1
Shewanella japonica	     1	0	0	     1	0
Ferrimonas balearica	    21	0	0	0	0
Colwellia sp. Arc7-635	     1	0	0	0	0
Colwellia sp. 20A7	     1	0	0	0	     1
Psychromonas ingrahamii	     1	0	0	0	0
Vibrio vulnificus	   118	   21	 1	     2	     9
Vibrio sp. HDW18	    13	0	0	0	     3
Vibrio sp. Scap24	     1	0	0	0	0
Vibrio diabolicus	     5	0	0	0	0
Vibrio campbellii	     2	0	0	0	0
Vibrio parahaemolyticus	     1	0	0	     1	0
Vibrio cholerae	     4	0	0	     2	     4
Vibrio tritonius	     4	0	0	0	0
Vibrio casei	     1	0	0	     2	    10
Vibrio metschnikovii	     1	0	0	0	0
Vibrio panuliri	     1	0	0	0	0
Halomonas sp. 18071143	    11	0	0	0	     4
Halomonas sp. MCCC 1A13718	    11	0	0	0	    20
Halomonas sp. PGE1	     8	0	0	0	     4
Halomonas sp. HG01	     6	0	0	0	     3
Halomonas sp. Y2R2	     2	0	0	0	0
Halomonas sp. 1513	     2	0	0	0	    31
Halomonas sp. YLGW01	     1	0	0	0	     9
Halomonas sp. MCCC 1A13316	     1	0	0	0	     6
Halomonas sp. THAF12	     1	0	0	0	     8
Halomonas sp. THAF5a	     1	0	0	0	     3
Halomonas denitrificans	    11	0	0	0	     4
Halomonas piezotolerans	     5	0	0	     4	     1
Halomonas chromatireducens	     4	0	0	0	0
Halomonas hydrothermalis	     3	    5	0	0	    14
Halomonas beimenensis	     3	0	0	0	     4
Halomonas titanicae	     3	0	0	0	    13
Halomonas meridiana	     2	0	0	0	    30
Halomonas elongata	     1	    2	0	0	    13
Kushneria konosiri	    10	0	0	     1	0
Kushneria marisflavi	     1	0	0	0	     7
Kushneria phosphatilytica	     1	0	0	0	0
Halotalea alkalilenta	    10	0	0	0	     8
Chromohalobacter salexigens	     4	0	0	0	     4
Salinicola tamaricis	     3	    1	0	0	    17
Alcanivorax pacificus	    17	0	0	0	0
Alcanivorax sp. N3-2A	     1	0	0	0	     6
Neptunomonas phycophila	     6	0	0	0	     1
Marinomonas mediterranea	     1	    2	0	0	0
Marinomonas primoryensis	     1	0	0	0	0
Marinomonas sp. FW-1	     1	0	0	0	0
Gynuella sunshinyii	     1	0	0	     1	     1
Legionella pneumophila	    36	    1	0	     4	     5
Legionella clemsonensis	    19	0	0	0	0
Legionella endosymbiont of Polyplax serrata	     6	0	0	0	0
Legionella spiritensis	     1	0	0	0	     1
Legionella sainthelensi	     1	0	0	0	0
Methylomonas sp. LL1	    43	0	0	0	0
Methylomonas rhizoryzae	     5	0	0	0	0
Methylococcus sp. IM1	     1	0	0	0	     3
Methylogaea oryzae	     5	0	0	0	     1
Methylovulum psychrotolerans	     2	0	0	     1	     2
Haemophilus haemolyticus	    17	0	0	0	     1
Haemophilus parainfluenzae	     9	    2	0	     3	    70
[Haemophilus] ducreyi	     3	0	0	0	    69
Haemophilus influenzae	     1	0	0	     1	     3
Aggregatibacter aphrophilus	     4	0	0	     1	0
Otariodibacter oris	     5	0	0	0	0
Pasteurella multocida	     1	0	0	     3	     6
Solimonas sp. K1W22B-7	    30	    1	0	0	    21
Francisella tularensis	     4	0	0	0	0
Methylophaga nitratireducenticrescens	     2	0	0	0	     1
Methylophaga frappieri	     2	0	0	     4	     5
Thiomicrorhabdus indica	     1	0	0	0	0
endosymbiont of unidentified scaly snail isolate Monju	     6	0	0	0	     5
Sulfurifustis variabilis	     2	0	0	0	    10
Sulfuricaulis limicola	     1	0	0	0	     3
Sedimenticola thiotaurini	     2	0	0	0	0
Immundisolibacter cernigliae	     2	0	0	     1	     7
Sorangium cellulosum	   128	    2	0	    11	    78
Chondromyces crocatus	    23	0	0	     2	     5
Sandaracinus amylolyticus	    69	0	0	     1	     3
Sandaracinus sp.	     1	0	0	0	0
Labilithrix luteola	    17	0	0	0	    13
Minicystis rosea	     2	0	0	     2	    25
Corallococcus coralloides	    24	    3	0	0	    17
Corallococcus macrosporus	    10	0	0	0	    14
Corallococcus sp. EGB	     2	0	0	     3	     1
Myxococcus xanthus	    26	0	0	     1	    16
Myxococcus stipitatus	     5	0	0	     1	     6
Myxococcus hansupus	     3	0	0	0	     2
Pyxidicoccus sp. SCPEA002	    20	    2	0	     1	    10
Anaeromyxobacter sp. K	     5	0	0	0	    27
Anaeromyxobacter sp. Fw109-5	     3	    1	0	0	    16
Anaeromyxobacter dehalogenans	     7	0	0	0	    14
Cystobacter fuscus	    12	0	0	     1	    11
Archangium violaceum	     3	0	0	0	    29
Archangium gephyra	     2	0	0	     3	     2
Stigmatella aurantiaca	     4	0	0	0	    15
Haliangium ochraceum	     1	0	0	0	    14
Desulfovibrio magneticus	    38	0	0	0	     9
Desulfovibrio carbinoliphilus	    35	0	0	0	0
Desulfovibrio marinus	    16	0	0	0	    15
Desulfovibrio carbinolicus	    15	0	0	0	     1
Desulfovibrio ferrophilus	     6	0	0	0	0
Desulfovibrio sp. 86	     2	0	0	0	     2
Desulfovibrio sp. IOR2	     1	0	0	0	     3
Desulfovibrio fairfieldensis	     1	0	0	0	     3
Desulfocurvibacter africanus	    12	0	0	0	     1
Pseudodesulfovibrio sp. zrk46	     1	0	0	0	     2
Geobacter sp. FeAm09	     9	    5	0	0	     3
Geobacter sp. Jerry-YX	     7	0	0	0	     5
Geobacter sp. DSM 9736	     1	0	0	0	     5
Geobacter lovleyi	     3	0	0	0	0
Geobacter uraniireducens	     2	0	0	0	     1
Geobacter bremensis	     1	0	0	0	     6
Geoalkalibacter subterraneus	     1	0	0	0	     1
Desulfuromonas soudanensis	     1	0	0	0	     1
Desulfuromonas versatilis	     1	0	0	0	     1
Syntrophotalea carbinolica	     1	0	0	0	0
Syntrophotalea acetylenivorans	     1	0	0	0	0
Syntrophobacter fumaroxidans	    50	0	0	0	     5
Desulfonema magnum	    14	0	0	0	     1
Desulfosarcina ovata	     2	0	0	0	     2
Desulfosarcina alkanivorans	     2	    4	0	0	     3
Desulfosarcina widdelii	     1	0	0	0	0
Desulfobulbus oligotrophicus	     1	0	0	0	     2
Desulfarculus baarsii	    12	0	0	0	     7
Persicimonas caeni	     6	    5	0	0	     3
Campylobacter ureolyticus	    34	0	0	0	     1
Campylobacter concisus	     1	0	0	     4	     1
Arcobacter suis	     1	0	0	0	     1
Sulfurimonas sp. B2	    17	0	0	0	0
Sulfurimonas sp. H1576	     4	0	0	0	0
Sulfurimonas sp. NW10	     1	0	0	0	0
Helicobacter pylori	     5	0	0	    17	    41
Nitratiruptor sp. YY09-18	    13	0	0	0	0
Hydrogenophilus thermoluteolus	    34	0	0	    14	     5
Acidithiobacillus ferrooxidans	     1	0	0	0	     2
Acidithiobacillus caldus	     1	0	0	0	     1
Cutibacterium modestum	 25060	   63	0	   172	   539
Cutibacterium acnes	 23055	  556	0	  8826	 61528
Cutibacterium avidum	   172	    5	0	    12	   420
Cutibacterium granulosum	    46	    4	0	   102	  1368
Tessaracoccus timonensis	    33	0	0	0	    23
Tessaracoccus flavescens	     2	0	0	0	    12
Tessaracoccus defluvii	     1	0	0	     1	    13
Tessaracoccus flavus	     1	0	0	     1	0
Microlunatus sagamiharensis	    42	    2	0	     9	    15
Microlunatus phosphovorus	     2	    2	0	     3	    30
Raineyella sp. CBA3103	    45	    2	0	     2	     6
Brevilactibacter sp. MC1595	    18	0	0	     1	     9
Brevilactibacter coleopterorum	     8	0	0	     1	     8
Propionibacterium freudenreichii	    17	0	0	0	    36
Propionibacterium australiense	     1	0	0	     5	    13
Propionibacterium acidifaciens	     1	0	0	0	     2
Acidipropionibacterium jensenii	     9	    2	0	     5	     8
Acidipropionibacterium acidipropionici	     3	0	0	     2	    18
Auraticoccus monumenti	     9	0	0	     5	     4
Arachnia rubra	     3	0	0	     8	     3
Arachnia propionica	     2	0	0	     5	    25
Propionimicrobium sp. Marseille-P3275	     3	0	0	0	     2
Nocardioides sp. S5	    62	    3	0	     4	   215
Nocardioides sp. zg-579	    44	0	0	     1	    13
Nocardioides sp. JS614	    41	0	0	     1	    51
Nocardioides sp. G188	    40	0	0	     2	    47
Nocardioides sp. HDW12B	    37	    2	0	     2	    51
Nocardioides sp. zg-1228	    28	0	0	     2	   271
Nocardioides sp. zg-536	    24	    3	0	     9	     8
Nocardioides sp. S-1144	    21	0	0	     2	    27
Nocardioides sp. LMS-CY	    20	    3	0	     3	    19
Nocardioides sp. JQ2195	    16	0	0	0	     8
Nocardioides sp. SCSIO 67246	    13	0	0	     1	    13
Nocardioides sp. dk3136	     6	0	0	     1	     8
Nocardioides sp. CF8	     4	0	0	0	    34
Nocardioides sp. ZJ1313	     2	0	0	0	    12
Nocardioides sp. MC1495	     2	0	0	     1	    14
Nocardioides sp. dk884	     1	0	0	0	    20
Nocardioides sambongensis	    71	    2	0	0	    53
Nocardioides anomalus	    61	    1	0	     7	    34
Nocardioides ungokensis	    60	0	0	     5	     8
Nocardioides euryhalodurans	    46	0	0	     2	    28
Nocardioides aquaticus	    42	    1	0	     1	    17
Nocardioides marinisabuli	    31	0	0	0	    12
Nocardioides mesophilus	    30	0	0	     1	    25
Nocardioides aromaticivorans	    15	0	0	     4	    38
Nocardioides baekrokdamisoli	    15	    3	0	0	    13
Nocardioides houyundeii	    13	    1	0	     5	    13
Nocardioides cynanchi	    13	0	0	     2	    40
Nocardioides daphniae	    12	    1	0	     1	    22
Nocardioides rotundus	     7	    3	0	    11	    67
Nocardioides piscis	     5	0	0	0	    25
Nocardioides dongkuii	     5	0	0	     2	    44
Nocardioides seonyuensis	     4	0	0	     2	    19
Nocardioides humi	     2	    2	0	     4	    36
Nocardioides dokdonensis	     1	0	0	     1	    18
Marmoricola scoriae	   163	0	0	     1	    24
Aeromicrobium choanae	    79	    3	0	     1	     6
Aeromicrobium sp. zg-629	     8	0	0	0	     5
Aeromicrobium sp. A1-2	     1	0	0	     3	    13
Aeromicrobium yanjiei	     6	0	0	0	    15
Aeromicrobium marinum	     1	0	0	     1	    27
Friedmanniella luteola	    46	    1	0	0	    48
Pimelobacter simplex	    12	0	0	     4	    60
Micropruina glycogenica	     7	    4	0	    26	   232
Kribbella flavida	    28	0	0	0	     4
Actinopolymorpha singaporensis	     6	0	0	0	    10
Micrococcus luteus	  1415	   13	 4	    51	  1038
Micrococcus sp. KD337-16	    32	   18	0	    14	    38
Micrococcus sp. KBS0714	    22	0	0	     4	    14
Micrococcus sp. A1	    13	0	0	0	    13
Micrococcus sp. A7	     1	0	0	0	    14
Kocuria rhizophila	   198	0	0	    28	   116
Kocuria palustris	    50	   17	0	    30	   174
Kocuria rosea	    28	0	0	     6	     8
Kocuria sp. KD4	    22	0	0	     5	   138
Kocuria sp. TGY1127_2	     1	0	0	0	     1
Kocuria varians	    18	    2	0	     1	     3
Kocuria flava	     1	0	0	     3	     7
Kocuria indica	     1	    3	0	     2	    87
Rothia dentocariosa	    91	    2	0	     6	    37
Rothia amarae	    31	0	0	    10	    14
Rothia mucilaginosa	    19	    1	0	    30	   104
Rothia kristinae	    13	   14	0	     9	    66
Rothia aeria	     5	0	0	     5	    55
Arthrobacter sp. 24S4-2	    14	0	0	0	    17
Arthrobacter sp. ERGS1:01	    13	0	0	0	     1
Arthrobacter sp. zg-ZUI227	     9	0	0	0	     1
Arthrobacter sp. NEB 688	     6	    2	0	0	    15
Arthrobacter sp. NicSoilB4	     4	    3	0	0	    22
Arthrobacter sp. PM3	     3	0	0	0	    10
Arthrobacter sp. KBS0702	     2	0	0	    23	    21
Arthrobacter sp. QXT-31	     2	0	0	     1	     3
Arthrobacter sp. StoSoilB5	     1	0	0	0	     4
Arthrobacter sp. StoSoilB20	     1	0	0	0	     2
Arthrobacter citreus	     2	0	0	0	     5
Pseudarthrobacter chlorophenolicus	    25	0	0	0	     3
Neomicrococcus aestuarii	    15	    1	0	     1	0
Glutamicibacter arilaitensis	     5	0	0	    16	     1
Glutamicibacter protophormiae	     3	0	0	     1	     2
Glutamicibacter mishrai	     1	0	0	     3	0
Sinomonas atrocyanea	     5	0	0	     1	    16
Sinomonas sp. R1AF57	     3	0	0	     2	     6
Citricoccus sp. SGAir0253	     1	0	0	0	     7
Paenarthrobacter ureafaciens	     1	0	0	0	     1
Microbacterium sp. No. 7	    48	0	0	     3	    16
Microbacterium sp. LKL04	    35	    2	0	     1	    64
Microbacterium sp. PM5	    35	    2	0	    11	    24
Microbacterium sp. BH-3-3-3	    33	0	0	     5	     7
Microbacterium sp. ABRD_28	    30	0	0	     2	    22
Microbacterium sp. RG1	    24	    4	0	     1	     8
Microbacterium sp. 4R-513	    16	    1	0	0	    21
Microbacterium sp. NY27	     8	    1	0	     2	    11
Microbacterium sp. XT11	     5	    2	0	0	     4
Microbacterium sp. JZ31	     3	0	0	     5	    18
Microbacterium sp. WY121	     3	0	0	0	     8
Microbacterium sp. Y-01	     3	    1	0	     3	    22
Microbacterium sp. A18JL200	     3	0	0	0	    18
Microbacterium sp. 10M-3C3	     3	    2	0	     1	    43
Microbacterium sp. 1S1	     3	0	0	     3	    24
Microbacterium sp. A18JL241	     2	0	0	0	     6
Microbacterium sp. 1.5R	     1	0	0	0	0
Microbacterium sp. NIBRBAC000506063	     1	0	0	     6	    10
Microbacterium aurum	   100	    6	0	   144	    96
Microbacterium testaceum	    47	    1	0	     2	    23
Microbacterium oleivorans	    37	    1	0	     3	    28
Microbacterium sediminis	    24	0	0	     4	    40
Microbacterium schleiferi	    23	0	0	     2	    12
Microbacterium chocolatum	    18	0	0	     1	     3
Microbacterium lemovicicum	    18	0	0	     3	     8
Microbacterium hydrocarbonoxydans	     8	    1	0	0	    11
Microbacterium lushaniae	     5	0	0	     4	     2
Microbacterium wangchenii	     4	0	0	     3	    16
Microbacterium esteraromaticum	     2	0	0	     1	    10
Microbacterium oxydans	     2	0	0	0	     7
Microbacterium endophyticum	     2	0	0	     4	     1
Microbacterium pygmaeum	     1	    2	0	     5	    34
Microbacterium amylolyticum	     1	0	0	0	     1
Curtobacterium sp. MR_MD2014	    26	    3	0	     5	    67
Curtobacterium sp. L6-1	    13	    4	0	0	   125
Curtobacterium sp. TXMA1	    10	0	0	0	     3
Curtobacterium sp. 24E2	     5	    4	0	     3	    13
Curtobacterium sp. TC1	     2	0	0	0	    29
Curtobacterium sp. BH-2-1-1	     1	0	0	0	    65
Curtobacterium flaccumfaciens	     7	   20	0	    31	   350
Agrococcus sp. Marseille-Q4369	    64	0	0	0	    12
Agrococcus sp. SGAir0287	     1	0	0	     2	     6
Agrococcus jejuensis	     6	0	0	     3	    12
Agrococcus carbonis	     3	0	0	0	     2
Rathayibacter sp. VKM Ac-2804	    21	    1	0	     1	    11
Rathayibacter sp. VKM Ac-2759	     4	0	0	     3	    34
Rathayibacter sp. VKM Ac-2760	     4	    5	0	     4	     9
Rathayibacter sp. VKM Ac-2805	     3	0	0	0	    10
Rathayibacter sp. VKM Ac-2801	     1	0	0	     1	     1
