species	MHS470	MHS524	MHS552	MHS566	MHS581
Parvibaculum lavamentivorans	      2	    27	    14	    8	    11
Pyruvatibacter mobilis	      2	     9	     1	    4	     4
Nordella sp. HKS 07	      3	    24	    17	   11	    11
Pseudorhodoplanes sinuspersici	      1	    18	    37	    8	    55
Terrihabitans soli	      1	     3	     5	0	     8
Methylovirgula ligni	      2	     7	    10	    4	    25
Methylovirgula sp. HY1	      1	    11	     5	    1	    19
Methylocella silvestris	      1	    13	     2	    1	    23
Methylocella tundrae	      1	     9	    12	0	     9
Phreatobacter stygius	      3	    57	    41	   20	    57
Phreatobacter cathodiphilus	      1	    28	    12	   25	    30
Phreatobacter sp. NMCR1094	      1	    14	    42	    3	    35
Bartonella apis	      4	0	     5	0	0
Kaistia sp. 32K	      4	    22	    20	   14	    11
Hartmannibacter diazotrophicus	      4	    35	     4	    2	    23
Lichenihabitans psoromatis	      4	     8	     2	   11	    16
Chelatococcus sp. CO-6	      3	    22	    43	    1	    18
Chelatococcus daeguensis	      1	     8	    12	    1	     4
Breoghania sp. L-A4	      2	    18	    30	    2	    23
Sphingomonas sp. AAP5	     24	   177	   108	  124	   134
Sphingomonas sp. PAMC26645	     22	   116	    74	   50	    92
Sphingomonas sp. AP4-R1	     17	    48	    64	   15	    28
Sphingomonas sp. LK11	     16	   143	    22	   17	    26
Sphingomonas sp. KC8	     12	    56	    39	   15	    12
Sphingomonas sp. Cra20	     12	    68	   103	   48	    70
Sphingomonas sp. XS-10	     12	    77	    37	   28	    33
Sphingomonas sp. LMO-1	     11	    69	    85	   14	    37
Sphingomonas sp. NIC1	     11	   157	    80	   32	   216
Sphingomonas sp. FARSPH	     11	   353	    89	   13	    52
Sphingomonas sp. C33	     10	    36	    33	   12	    40
Sphingomonas sp. HMP6	      9	   106	   100	   84	    75
Sphingomonas sp. CL5.1	      8	   247	    97	   43	    71
Sphingomonas sp. HMP9	      7	    94	    70	   24	    40
Sphingomonas sp. HDW15A	      6	     4	     7	    1	     7
Sphingomonas sp. YZ-8	      6	    13	     5	    5	    16
Sphingomonas sp. NBWT7	      5	   244	    95	   19	    22
Sphingomonas sp. AK-PDB1-5	      5	    64	   105	   11	    43
Sphingomonas sp. MM-1	      4	    57	    73	    8	    18
Sphingomonas sp. C8-2	      1	    28	    17	   19	    48
Sphingomonas sp. LM7	      1	    50	    52	   17	    51
Sphingomonas sp. MK52	      1	    32	    53	   27	    16
Sphingomonas sp. IC081	      1	    29	    20	    8	    27
Sphingomonas melonis	     35	   286	   163	   56	   235
Sphingomonas alpina	     21	   101	    55	   50	    72
Sphingomonas paucimobilis	     17	   176	   123	   32	    75
Sphingomonas hengshuiensis	     15	    60	   102	   41	    48
Sphingomonas aliaeris	     15	   107	    94	   34	    49
Sphingomonas panacis	     13	   103	   101	   41	    44
Sphingomonas koreensis	     12	   100	    94	   26	    42
Sphingomonas taxi	     12	   162	    62	   20	    73
Sphingomonas insulae	      9	    86	    42	   25	    54
Sphingomonas lutea	      8	    14	    14	    2	     5
Sphingomonas sanguinis	      7	   118	    39	    8	    35
Sphingomonas sanxanigenens	      7	    77	   105	   41	    50
Sphingomonas wittichii	      7	    44	    53	   12	    31
Sphingomonas ginsengisoli An et al. 2013	      6	    25	    45	    4	    28
Sphingomonas daechungensis	      5	     9	     4	    4	    25
Sphingomonas sinipercae	      5	     8	     2	    1	     7
Sphingomonas rhizophila	      5	     8	    10	    5	    18
Sphingomonas sediminicola	      5	    33	     6	0	     4
Sphingomonas xanthus	      4	     6	    13	0	     9
Sphingomonas panacisoli	      4	    86	    36	   21	    21
Sphingomonas piscis	      3	     3	     9	    2	    12
Sphingomonas sabuli	      3	    22	     9	    7	    19
Sphingomonas lacunae	      2	     9	     5	    1	     6
Sphingobium sp. YG1	     30	   571	   282	  274	   399
Sphingobium sp. EP60837	     12	    42	    24	   11	    15
Sphingobium sp. KCTC 72723	      9	     9	     2	   31	    37
Sphingobium sp. SCG-1	      8	    16	    30	    7	    12
Sphingobium sp. Cam5-1	      6	    24	    23	   19	    15
Sphingobium sp. CAP-1	      5	    46	    19	   17	    35
Sphingobium sp. SYK-6	      4	    33	    26	    3	    32
Sphingobium sp. RAC03	      4	    47	    23	   15	    21
Sphingobium sp. PAMC28499	      4	    12	    66	   80	   146
Sphingobium sp. TKS	      3	    56	    49	   27	    69
Sphingobium sp. RSMS	      1	     7	     7	    3	     9
Sphingobium yanoikuyae	     47	   170	   851	  599	  1081
Sphingobium cloacae	     16	    70	    62	   28	    15
Sphingobium xenophagum	     13	    22	    74	   28	   104
Sphingobium amiense	     12	    15	    41	    6	    14
Sphingobium baderi	      9	    37	    38	   88	   119
Sphingobium herbicidovorans	      7	    26	    15	    5	    37
Sphingobium indicum	      4	    31	     4	    5	    14
Sphingobium chlorophenolicum	      3	    24	    19	   17	     1
Sphingobium phenoxybenzoativorans	      2	    11	     5	    1	     7
Sphingobium fuliginis	      1	    12	    17	   20	    33
Sphingopyxis sp. EG6	     20	    27	    22	   24	    27
Sphingopyxis sp. PAMC25046	     18	    27	    50	   30	    39
Sphingopyxis sp. QXT-31	      8	    29	    23	   15	    26
Sphingopyxis sp. FD7	      6	    30	    17	    7	    24
Sphingopyxis sp. 113P3	      2	    34	    28	    9	    12
Sphingopyxis sp. OPL5	      2	    25	    19	   17	    56
Sphingopyxis fribergensis	     24	    73	    58	   50	    97
Sphingopyxis terrae	     22	    34	    19	   17	    35
Sphingopyxis macrogoltabida	     11	   110	    47	   36	    50
Sphingopyxis alaskensis	      9	    18	    20	   17	    22
Sphingopyxis granuli	      8	    38	    39	   21	    43
Sphingopyxis lindanitolerans	      7	    60	    33	   10	    48
Novosphingobium sp. ES2-1	     10	    17	    39	    8	    36
Novosphingobium sp. EMRT-2	      7	    20	   105	   56	    73
Novosphingobium sp. KA1	      6	    56	    43	    9	    17
Novosphingobium sp. Gsoil 351	      6	     9	     7	   11	    26
Novosphingobium sp. P6W	      4	    46	    29	   19	    51
Novosphingobium sp. 502str22	      4	    67	    79	   38	    41
Novosphingobium sp. PP1Y	      2	    28	     9	    2	    25
Novosphingobium sp. THN1	      2	     7	    47	    4	    36
Novosphingobium resinovorum	     13	    81	   173	   85	   305
Novosphingobium aromaticivorans	      5	    28	    50	   19	    34
Novosphingobium ginsenosidimutans	      2	    43	    24	    3	    22
Sphingosinithalassobacter sp. CS137	      8	    39	    28	    9	    18
Sphingosinithalassobacter sp. zrk23	      7	    12	    38	   12	    12
Hankyongella ginsenosidimutans	      8	    18	    17	   13	    18
Blastomonas sp. RAC04	      3	    10	    19	    2	    19
Blastomonas fulva	      2	     7	     1	0	    28
Tardibacter chloracetimidivorans	      5	     8	    16	    3	    10
Allosphingosinicella indica	      4	    18	    18	    3	     9
Parasphingopyxis sp. CP4	      2	     3	     4	    2	     8
Sphingorhabdus sp. YGSMI21	      2	     2	     3	0	     5
Citromicrobium sp. JL477	      1	     1	     3	    3	     8
Rhizorhabdus dicambivorans	      1	    37	    34	    2	    23
Erythrobacter sp. HL-111	      3	     4	     4	   11	     9
Erythrobacter sp. HKB08	      1	     4	0	0	    12
Erythrobacter sp. A30-3	      1	     5	     1	    1	     1
Erythrobacter mangrovi	      6	    13	     1	    5	     1
Erythrobacter litoralis	      3	    25	    15	    3	    31
Erythrobacter neustonensis	      1	     7	    14	    4	    25
Erythrobacter aureus	      1	     2	     5	    7	     3
Porphyrobacter sp. LM 6	      7	     3	     4	0	     9
Porphyrobacter sp. CACIAM 03H1	      4	    38	    11	    9	     8
Porphyrobacter sp. HT-58-2	      4	    19	    22	    3	    18
Porphyrobacter sp. YT40	      1	    18	    29	   12	    22
Qipengyuania flava	      7	    24	     6	0	    38
Qipengyuania sediminis	      2	    20	     5	    3	     2
Qipengyuania sp. 1NDW3	      1	    10	     9	0	    15
Qipengyuania sp. 1XM2-8	      1	     4	     3	    1	     3
Qipengyuania seohaensis	      1	     6	     6	    2	     5
Tsuneonella flava	      3	    11	     4	0	     9
Tsuneonella dongtanensis	      1	    15	     5	    1	    30
Altererythrobacter epoxidivorans	      1	     1	     5	    1	     6
Altererythrobacter ishigakiensis	      1	0	     7	0	     3
Croceicoccus naphthovorans	      1	     1	     3	    3	    16
Croceicoccus sp. YJ47	      1	    13	     9	0	    12
Paraurantiacibacter namhicola	      1	     6	0	0	     7
Sphingosinicella sp. BN140058	      9	    41	    50	    2	    19
Sphingosinicella microcystinivorans	      3	    12	    13	    1	    10
Polymorphobacter sp. PAMC 29362	      3	    17	    12	0	    10
Sandaracinobacter sp. M6	      2	    30	    15	    4	    13
Paracoccus sp. MC1862	     19	    20	    25	   51	    32
Paracoccus sp. AK26	     18	    25	     6	    7	    30
Paracoccus sp. Arc7-R13	      5	    14	    23	    2	    24
Paracoccus sp. H4-D09	      2	    14	     6	    1	     1
Paracoccus sp. BM15	      1	    28	0	    8	     3
Paracoccus contaminans	     20	   122	   335	  117	   213
Paracoccus sanguinis	     17	    24	    26	   55	    30
Paracoccus yeei	     14	   111	    44	  206	    40
Paracoccus marcusii	     13	     5	    17	    6	    12
Paracoccus liaowanqingii	     10	    59	     9	    3	    15
Paracoccus suum	     10	     9	    40	   35	    40
Paracoccus kondratievae	      9	     3	     3	   14	    17
Paracoccus jeotgali	      4	    15	     9	   18	     6
Paracoccus zhejiangensis	      3	    19	     9	    7	    34
Paracoccus aminovorans	      3	    17	     4	   11	    13
Paracoccus haeundaensis	      1	0	0	0	0
Paracoccus pantotrophus	      1	    27	     7	    1	    14
Paracoccus aminophilus	      1	    16	    25	    3	    12
Rhodobacter sp. N10	      8	    22	0	0	    29
Rhodobacter sp. LPB0142	      1	     9	     2	0	     5
Rhodobacter sp. CZR27	      1	    11	     7	    3	    21
Rhodobacter blasticus	      6	    12	     1	    1	     5
Rhodobacter capsulatus	      1	     9	    10	0	    20
Rhodovulum sulfidophilum	      7	     3	     5	    9	    22
Rhodovulum sp. MB263	      3	     5	0	    1	     1
Rhodovulum sp. P5	      2	     5	     5	    1	    17
Thioclava electrotropha	      5	    12	     1	    5	     4
Thioclava nitratireducens	      2	0	0	0	    20
Cereibacter sphaeroides	      8	    58	    30	   35	    62
Haematobacter massiliensis	      5	    16	    19	    9	    12
Polymorphum gilvum	      5	    42	    16	   19	    10
Profundibacter amoris	      4	     1	0	0	     8
Roseicitreum antarcticum	      4	     2	     4	    1	    12
Brevirhabdus pacifica	      4	    39	     8	   12	    18
Gemmobacter sp. HYN0069	      3	    19	    10	    4	     7
Paraoceanicella profunda	      3	    18	    15	   14	    11
Monaibacterium sp. ALG8	      3	    16	     8	    7	     6
Pacificitalea manganoxidans	      2	    13	     5	    4	     4
Pikeienuella piscinae	      2	     4	     9	    3	    12
Tabrizicola piscis	      2	    18	    17	    3	     9
Defluviimonas alba	      2	    42	    21	0	     6
Pseudooceanicola algae	      1	    10	    24	    6	    11
Aestuarium zhoushanense	      1	     2	0	0	0
Qingshengfaniella alkalisoli	      1	0	     5	    2	0
Cognatishimia activa	      1	    11	    10	    2	     4
Yoonia vestfoldensis	      1	     3	0	    1	     1
Salipiger profundus	      4	    23	     8	0	     3
Salipiger pacificus	      2	     8	    13	    2	     4
Salipiger abyssi	      2	     6	     7	   10	    34
Marinovum algicola	      7	    17	    10	    9	     6
Roseovarius sp. THAF9	      2	0	     1	   10	0
Roseovarius sp. THAF8	      1	0	     1	    3	0
Roseovarius indicus	      1	     7	     9	    5	    12
Sulfitobacter alexandrii	      3	     8	     9	    8	    15
Sulfitobacter pontiacus	      2	0	     6	    3	     8
Leisingera methylohalidivorans	      2	     2	     9	    6	    14
Leisingera aquaemixtae	      1	     3	     2	0	     2
Ruegeria sp. THAF33	      2	     4	0	0	     6
Ruegeria sp. TM1040	      1	0	0	    3	0
Ruegeria pomeroyi	      1	     2	    13	    1	     5
Octadecabacter sp. SW4	      2	0	0	    1	0
Octadecabacter arcticus	      1	0	0	    7	0
Phaeobacter gallaeciensis	      1	0	     3	    1	     8
Thalassococcus sp. S3	      2	0	     2	0	    15
Mameliella alba	      2	    22	     4	    5	    16
Maribius sp. THAF1	      2	     4	0	    9	    17
Roseobacter ponti	      1	     8	     2	0	     6
Sagittula sp. P11	      1	     8	     8	    3	    31
Dinoroseobacter shibae	      1	0	     7	    2	    32
Brevundimonas sp. SGAir0440	     21	   429	   413	  253	   570
Brevundimonas sp. GW460-12-10-14-LB2	     16	   257	   187	  162	   339
Brevundimonas sp. PAMC22021	     15	   313	   208	  163	   331
Brevundimonas sp. LM2	     14	   164	    89	   85	   219
Brevundimonas sp. M20	     11	   203	   123	   64	   243
Brevundimonas sp. AJA228-03	      6	   103	    72	   55	   109
Brevundimonas sp. CS1	      6	   427	   326	  225	   560
Brevundimonas sp. 'scallop'	      5	   281	   152	  123	   352
Brevundimonas sp. GRTSA-9	      4	   140	    70	   77	   159
Brevundimonas sp. MF30-B	      2	   135	   129	   83	   172
Brevundimonas sp. Bb-A	      1	   198	   181	   62	   285
Brevundimonas nasdae	     16	   465	   645	  490	  1022
Brevundimonas naejangsanensis	     14	   357	   157	  100	   187
Brevundimonas goettingensis	     13	   132	    92	   97	   164
Brevundimonas mediterranea	     12	   602	   496	  283	   687
Brevundimonas vesicularis	     11	   143	   160	  183	   236
Brevundimonas diminuta	      8	   149	   534	  283	   965
Brevundimonas pondensis	      8	   103	    97	   52	   167
Brevundimonas vancanneytii	      5	    55	     9	   20	    57
Brevundimonas subvibrioides	      3	    96	    45	   31	    75
Caulobacter sp. S6	     10	    34	    92	   34	   144
Caulobacter sp. FWC26	      3	    67	    14	   13	    53
Caulobacter mirabilis	      9	    22	    36	   19	    66
Caulobacter segnis	      9	    61	    99	   79	   162
Caulobacter rhizosphaerae	      6	    23	    33	    5	    68
Caulobacter vibrioides	      2	    30	    71	   13	    96
Caulobacter soli	      2	    30	    13	   11	    30
Caulobacter henricii	      1	    12	    26	   10	    15
Caulobacter flavus	      1	    42	    64	   29	   153
Phenylobacterium zucineum	      8	    31	    44	   11	    66
Phenylobacterium parvum	      3	    19	    13	    6	    17
Terricaulis silvestris	      3	    18	    15	    1	     3
Asticcacaulis excentricus	      1	    10	     1	    3	    19
Roseomonas sp. 1318	      6	   353	    13	    9	    23
Roseomonas sp. FDAARGOS_362	      4	    42	    70	  333	    30
Roseomonas sp. 546	      2	   396	    27	    4	    29
Roseomonas mucosa	      9	    28	   131	   90	    28
Roseomonas gilardii	      2	   104	    48	   45	    10
Komagataeibacter xylinus	      5	    30	     1	    1	    27
Komagataeibacter hansenii	      1	0	0	0	0
Gluconacetobacter diazotrophicus	      5	     9	     4	0	    19
Acetobacter aceti	      3	     3	     2	    4	    29
Commensalibacter sp. AMU001	      1	0	0	0	0
Roseococcus sp. NIBR12	      1	   145	    24	   11	    29
Asaia bogorensis	      1	0	     2	0	0
Azospirillum sp. TSH100	      6	    13	     5	    6	    16
Azospirillum sp. B510	      4	    20	     1	    3	    23
Azospirillum sp. TSA2s	      2	    10	    10	    4	     7
Azospirillum ramasamyi	      8	    20	     7	    6	    27
Azospirillum brasilense	      5	    50	    30	   18	    37
Azospirillum humicireducens	      3	     3	     5	    4	     3
Azospirillum thermophilum	      3	    25	     5	   32	   159
Azospirillum oryzae	      2	     3	0	0	0
Azospirillum thiophilum	      2	    34	     3	    7	     8
Azospirillum baldaniorum	      1	     5	     7	    4	0
Skermanella sp. TT6	      6	    34	    30	    8	    22
Skermanella pratensis	      1	    12	     2	    2	     5
Indioceanicola profundi	      4	     7	     9	    2	    20
Niveispirillum cyanobacteriorum	      3	    27	     8	   10	    14
Nitrospirillum amazonense	      2	    24	    10	   10	    36
Magnetospirillum gryphiswaldense	      5	     6	     3	    1	    56
Magnetospirillum sp. XM-1	      2	    15	     9	    3	    21
Magnetospirillum sp. ME-1	      1	    11	     8	    3	    16
Magnetospirillum magneticum	      1	    20	     1	0	     7
Hypericibacter terrae	      3	     8	     4	    7	     7
Hypericibacter adhaerens	      1	    20	    13	   15	    15
Tistrella mobilis	      3	    20	    56	    3	    46
Ferrovibrio terrae	      2	    38	     9	    2	    38
Rhodospirillum centenum	      1	    14	    21	    3	    10
Elioraea sp. MS-P2	      3	    20	     8	    6	    18
Stella humosa	      3	    37	     4	   10	    22
Thalassospira xiamenensis	      1	0	0	0	0
Thalassospira sp. A40-3	      1	     1	     3	0	0
Marinicauda algicola	      7	0	     2	    9	    15
Hyphomonas neptunium	      3	     1	0	    1	     1
Hyphomonas sp. CACIAM 19H1	      1	     2	     1	    7	     8
Myxococcus xanthus	      9	    16	     8	0	     9
Myxococcus hansupus	      3	    11	     3	    3	     4
Myxococcus sp. SCHIC003	      1	0	     2	0	     3
Corallococcus coralloides	      6	    13	    12	    1	     5
Corallococcus sp. EGB	      1	     1	     2	0	     1
Pyxidicoccus sp. SCPEA002	      2	    11	     7	    2	    10
Archangium violaceum	      8	    34	    16	    6	    11
Archangium gephyra	      4	    24	     8	    5	     7
Stigmatella aurantiaca	      1	     8	     1	    3	     2
Cystobacter fuscus	      1	     8	     7	    2	     1
Anaeromyxobacter sp. Fw109-5	      6	     4	     7	    1	    12
Anaeromyxobacter dehalogenans	      1	     2	     1	    1	     7
Vulgatibacter incomptus	      1	    13	     9	    5	     3
Sorangium cellulosum	     18	    77	    97	   37	    66
Chondromyces crocatus	      5	    14	     1	   11	     3
Labilithrix luteola	      7	    56	    45	    4	    46
Sandaracinus amylolyticus	      5	    30	    27	   12	    41
Minicystis rosea	      1	    19	    36	   20	     9
Haliangium ochraceum	      3	     3	     4	0	    11
Desulfovibrio carbinoliphilus	      5	    10	     7	    5	     7
Desulfovibrio marinus	      5	     5	     1	0	0
Desulfovibrio gigas	      4	     1	0	0	0
Desulfovibrio sulfodismutans	      4	0	0	0	0
Candidatus Desulfovibrio trichonymphae	      2	     9	0	    1	0
Desulfovibrio desulfuricans	      1	0	     4	0	     2
Pseudodesulfovibrio sp. zrk46	      3	     4	0	    4	0
Pseudodesulfovibrio profundus	      2	0	     2	0	     1
Pseudodesulfovibrio mercurii	      2	     1	0	0	0
Pseudodesulfovibrio cashew	      1	     1	0	0	     6
Desulfomicrobium baculatum	      1	     6	     1	0	     4
Geobacter bemidjiensis	      3	     4	0	    1	     5
Geobacter sulfurreducens	      2	     1	0	0	     3
Geobacter daltonii	      2	     3	0	0	     5
Geobacter sp. DSM 9736	      1	0	0	0	0
Geobacter sp. Jerry-YX	      1	     1	0	0	0
Geobacter lovleyi	      1	0	0	    1	     1
Geobacter pickeringii	      1	     2	0	0	     3
Geomonas sp. RG10	      1	    14	     3	0	     2
Geoalkalibacter subterraneus	      2	     7	     1	0	     1
Desulfuromonas soudanensis	      1	     7	     1	0	    10
Desulfuromonas versatilis	      1	     7	0	    1	     2
Pelobacter propionicus	      1	0	     2	    1	0
Syntrophotalea acetylenica	      2	0	     1	0	     3
Syntrophotalea carbinolica	      1	0	0	    2	0
Desulfosarcina widdelii	      2	     1	0	0	0
Desulfosarcina ovata	      1	0	0	0	0
Desulfobacter postgatei	      1	0	0	0	0
Desulfurivibrio alkaliphilus	      2	     1	    10	0	     1
Hippea maritima	      1	0	0	0	0
Desulfoglaeba alkanexedens	      1	     3	0	0	     3
Persicimonas caeni	      1	     7	    12	    2	     9
Arcobacter aquimarinus	     18	0	0	0	0
Campylobacter ureolyticus	      2	0	     4	0	0
Campylobacter jejuni	      1	0	0	    2	0
Campylobacter concisus	      1	     8	0	    2	     3
Campylobacter avium	      1	0	0	0	0
Helicobacter pylori	     11	    24	    31	   23	    12
Helicobacter heilmannii	      2	0	0	0	0
Helicobacter sp. NHP19-0012	      1	0	0	0	0
Bdellovibrio bacteriovorus	      2	     6	0	0	0
Bdellovibrio sp. KM01	      1	0	     3	0	0
Acidithiobacillus ferrivorans	      1	     2	     1	0	     8
Mariprofundus ferrinatatus	      1	0	0	    2	    14
Hydrogenophilus thermoluteolus	      1	     1	    16	    8	    34
Listeria monocytogenes	  68012	    31	    37	   39	    23
Listeria welshimeri	     49	0	0	0	     1
Listeria innocua	     43	0	0	0	     1
Listeria ivanovii	     23	0	0	0	0
Listeria seeligeri	     17	0	     1	0	0
Listeria grayi	      2	0	0	    1	0
Listeria weihenstephanensis	      2	0	0	0	     1
Listeria sp. PSOL-1	      1	0	0	0	0
Staphylococcus simulans	    334	  1148	    89	 1172	   755
Staphylococcus epidermidis	    203	   320	   492	  451	   285
Staphylococcus hominis	    172	   234	   197	  208	   161
Staphylococcus capitis	    125	   186	   155	  349	   135
Staphylococcus cohnii	     31	   162	    77	  124	   114
Staphylococcus pettenkoferi	     27	    13	     6	   35	    24
Staphylococcus aureus	     24	    63	    98	   81	    43
Staphylococcus haemolyticus	     12	    81	    19	   20	    16
Staphylococcus warneri	     10	     8	    22	    5	     4
Staphylococcus caprae	      5	    23	    27	   19	    17
Staphylococcus lloydii	      2	0	0	0	0
Staphylococcus chromogenes	      2	0	0	0	0
Staphylococcus auricularis	      2	0	0	0	0
Staphylococcus saprophyticus	      2	    14	    11	    7	     8
Staphylococcus pseudoxylosus	      1	0	0	0	     1
Staphylococcus pasteuri	      1	     1	     3	    2	     5
Staphylococcus sp. M0911	      1	     2	     4	    1	0
Staphylococcus saccharolyticus	      1	     7	    12	    6	     8
Staphylococcus pseudintermedius	      1	     1	     1	    1	0
Staphylococcus lugdunensis	      1	    10	0	    5	0
Macrococcus caseolyticus	      1	0	0	0	0
Macrococcus canis	      1	0	0	0	     1
Mammaliicoccus sciuri	      1	     5	     1	0	0
Mammaliicoccus lentus	      1	0	0	0	0
Jeotgalicoccus sp. WY2	      1	0	     1	    1	     3
Bacillus cereus	      7	     1	    23	    8	    13
Bacillus mycoides	      5	     1	     1	    1	     5
Bacillus sp. PAMC26568	      3	0	0	0	0
Bacillus sp. NP157	      2	     3	     5	    3	0
Bacillus sp. FJAT-42376	      2	0	0	0	0
Bacillus sp. LJBS17	      1	0	0	0	     1
Bacillus intermedius	      6	    12	0	    5	    11
Bacillus safensis	      4	0	0	0	0
Bacillus glycinifermentans	      3	     1	0	    1	    13
Bacillus velezensis	      1	0	0	0	0
Bacillus altitudinis	      1	     1	     1	0	0
Bacillus weihaiensis	      1	0	0	0	     1
Geobacillus stearothermophilus	      1	    14	    17	   15	    36
Geobacillus subterraneus	      1	     1	    12	0	0
Geobacillus sp. C56-T3	      1	0	0	0	0
Parageobacillus genomosp. 1	      4	0	0	0	0
Parageobacillus toebii	      1	     1	0	0	0
Lysinibacillus sp. YS11	      2	     1	0	0	0
Lysinibacillus sp. SGAir0095	      1	0	0	0	0
Lysinibacillus timonensis	      1	0	     4	0	0
Priestia megaterium	      2	0	0	    1	0
Priestia flexa	      1	0	0	0	0
Neobacillus thermocopriae	      3	     4	0	    5	0
Oceanobacillus kimchii	      2	0	0	0	0
Sutcliffiella horikoshii	      1	     1	0	0	0
Weizmannia coagulans	      1	     1	0	    4	0
Salicibibacter halophilus	      1	0	     1	0	     2
Cytobacillus kochii	      1	0	0	    1	0
Caldibacillus thermoamylovorans	      1	    24	     9	    1	     3
Pontibacillus sp. ALD_SL1	      1	0	0	0	0
Halobacillus mangrovi	      1	0	0	0	     1
Virgibacillus sp. MSP4-1	      1	0	0	    1	0
Anoxybacillus caldiproteolyticus	      1	0	0	0	     1
Exiguobacterium sp. ZWU0009	     11	0	0	0	0
Exiguobacterium sp. MH3	      9	0	0	0	0
Exiguobacterium sp. N4-1P	      1	0	0	    1	0
Exiguobacterium sp. Helios	      1	0	0	0	0
Exiguobacterium mexicanum	     14	     1	0	0	0
Exiguobacterium acetylicum	      5	0	0	0	0
Exiguobacterium sibiricum	      4	0	0	0	0
Exiguobacterium alkaliphilum	      1	0	0	    3	    12
Gemella haemolysans	      4	    22	    32	    3	     6
Paenibacillus sp. RUD330	      3	     9	0	0	     4
Paenibacillus sp. sptzw28	      2	0	0	0	0
Paenibacillus sp. B01	      2	   106	     4	    5	0
Paenibacillus sp. UniB2	      2	     6	     6	0	     9
Paenibacillus sp. TB2019	      1	     1	0	0	0
Paenibacillus sp. FSL R5-0912	      1	0	0	0	0
Paenibacillus yonginensis	      3	0	     6	    3	     1
Paenibacillus ihbetae	      3	     1	0	0	0
Paenibacillus psychroresistens	      2	0	0	0	0
Paenibacillus mucilaginosus	      1	     3	0	    2	     8
Paenibacillus guangzhouensis	      1	0	0	0	0
Paenibacillus lentus	      1	0	0	0	0
Paenibacillus graminis	      1	     3	0	0	0
Paenibacillus swuensis	      1	0	0	0	0
Paenibacillus protaetiae	      1	     4	     1	0	     4
Cohnella abietis	      4	     3	0	    2	     3
Cohnella sp. LGH	      2	     4	0	0	0
Cohnella candidum	      1	     8	     2	0	     4
Brevibacillus brevis	      1	     4	     1	0	     7
Tumebacillus algifaecis	      3	0	0	0	0
Alicyclobacillus acidocaldarius	      1	     7	0	0	     4
Planococcus massiliensis	      1	0	0	0	0
Sporosarcina ureae	      1	0	0	0	    10
Jeotgalibacillus malaysiensis	      1	0	0	0	0
Kroppenstedtia eburnea	      1	0	     2	0	0
Streptococcus thermophilus	     41	    11	     1	    1	    22
Streptococcus mitis	     40	   116	    27	   48	   100
Streptococcus sanguinis	     21	    19	    14	   18	    14
Streptococcus oralis	     17	    25	    23	   38	    21
Streptococcus cristatus	      6	     2	0	0	     1
Streptococcus sp. oral taxon 064	      1	0	0	0	0
Streptococcus sp. NPS 308	      1	     9	0	0	0
Streptococcus sp. 1643	      1	0	     1	    3	0
Streptococcus pneumoniae	      5	    71	    11	   28	    41
Streptococcus gordonii	      4	     2	     1	    5	    10
Streptococcus parasanguinis	      3	    23	     1	    6	     2
Streptococcus pseudopneumoniae	      1	    10	     5	    4	0
Streptococcus pluranimalium	      1	     1	0	0	0
Streptococcus salivarius	      1	    18	     3	   13	     6
Streptococcus parasuis	      1	     6	0	    1	0
Streptococcus parauberis	      1	0	0	0	0
Streptococcus vestibularis	      1	     2	     1	0	0
Lactococcus lactis	     16	    22	    14	    4	0
Enterococcus faecium	     24	    99	     1	    7	    10
Enterococcus hirae	      9	0	0	    5	0
Enterococcus cecorum	      5	     3	    21	    7	0
Enterococcus saigonensis	      1	0	0	0	0
Granulicatella adiacens	     31	     4	     1	   11	     1
Marinilactibacillus sp. 15R	      2	     1	     1	0	0
Jeotgalibaca dankookensis	      2	     6	0	0	0
Lactobacillus iners	      3	     1	    14	    4	    14
Lactobacillus amylovorus	      2	     7	0	0	     5
Lactobacillus delbrueckii	      1	0	     4	0	     1
Lactobacillus gallinarum	      1	0	0	0	0
Weissella cibaria	      2	0	0	0	0
Weissella soli	      2	0	     2	0	0
Weissella confusa	      1	     1	     1	0	0
Limosilactobacillus reuteri	      1	     1	0	    1	    11
Lactiplantibacillus pentosus	      1	     1	0	0	0
Amylolactobacillus amylophilus	      1	0	0	0	0
Fructilactobacillus sanfranciscensis	      1	0	0	0	0
Aerococcus viridans	      1	0	0	0	     1
Aerococcus urinaeequi	      1	     9	0	    2	     3
Abiotrophia defectiva	      2	0	0	0	     9
Clostridium botulinum	     22	   236	   137	  175	   263
Clostridium argentinense	      1	0	0	0	0
Clostridium fermenticellae	      1	0	0	0	0
Clostridium intestinale	      1	0	0	0	0
Alkaliphilus oremlandii	      1	0	0	0	     1
Crassaminicella sp. 143-21	      1	0	0	0	0
Faecalibacterium prausnitzii	     10	    12	     8	    3	    19
Caproiciproducens sp. NJN-50	      4	0	0	0	0
Ethanoligenens harbinense	      2	     1	     6	    2	     1
Ruthenibacterium lactatiformans	      2	0	0	0	0
Dysosmobacter sp. Marseille-Q4140	      1	0	0	0	     2
Flavonifractor plautii	      1	     7	     3	    1	     2
Blautia obeum	      2	0	     5	0	     9
Blautia argi	      1	0	0	0	0
Coprococcus sp. ART55/1	      2	0	0	0	0
Anaerostipes caccae	      1	     1	0	0	0
