FileType	fastq	Read submission file type									
sample	study	instrument_model	library_name	library_source	library_selection	library_strategy	library_layout	forward_file_name	forward_file_md5	reverse_file_name	reverse_file_md5
MHS431_merged	PRJEB89273	Illumina HiSeq X Ten	MHS431_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS431_merged_decont_1.fastq.gz		MHS431_merged_decont_2.fastq.gz	
MHS432_merged	PRJEB89273	Illumina HiSeq X Ten	MHS432_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS432_merged_decont_1.fastq.gz		MHS432_merged_decont_2.fastq.gz	
MHS433_merged	PRJEB89273	Illumina HiSeq X Ten	MHS433_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS433_merged_decont_1.fastq.gz		MHS433_merged_decont_2.fastq.gz	
MHS434_merged	PRJEB89273	Illumina HiSeq X Ten	MHS434_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS434_merged_decont_1.fastq.gz		MHS434_merged_decont_2.fastq.gz	
MHS435_merged	PRJEB89273	Illumina HiSeq X Ten	MHS435_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS435_merged_decont_1.fastq.gz		MHS435_merged_decont_2.fastq.gz	
MHS436_merged	PRJEB89273	Illumina HiSeq X Ten	MHS436_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS436_merged_decont_1.fastq.gz		MHS436_merged_decont_2.fastq.gz	
MHS437_merged	PRJEB89273	Illumina HiSeq X Ten	MHS437_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS437_merged_decont_1.fastq.gz		MHS437_merged_decont_2.fastq.gz	
MHS438_merged	PRJEB89273	Illumina HiSeq X Ten	MHS438_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS438_merged_decont_1.fastq.gz		MHS438_merged_decont_2.fastq.gz	
MHS439_merged	PRJEB89273	Illumina HiSeq X Ten	MHS439_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS439_merged_decont_1.fastq.gz		MHS439_merged_decont_2.fastq.gz	
MHS440_merged	PRJEB89273	Illumina HiSeq X Ten	MHS440_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS440_merged_decont_1.fastq.gz		MHS440_merged_decont_2.fastq.gz	
MHS441_merged	PRJEB89273	Illumina HiSeq X Ten	MHS441_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS441_merged_decont_1.fastq.gz		MHS441_merged_decont_2.fastq.gz	
MHS442_merged	PRJEB89273	Illumina HiSeq X Ten	MHS442_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS442_merged_decont_1.fastq.gz		MHS442_merged_decont_2.fastq.gz	
MHS443_merged	PRJEB89273	Illumina HiSeq X Ten	MHS443_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS443_merged_decont_1.fastq.gz		MHS443_merged_decont_2.fastq.gz	
MHS445_merged	PRJEB89273	Illumina HiSeq X Ten	MHS445_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS445_merged_decont_1.fastq.gz		MHS445_merged_decont_2.fastq.gz	
MHS450_merged	PRJEB89273	Illumina HiSeq X Ten	MHS450_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS450_merged_decont_1.fastq.gz		MHS450_merged_decont_2.fastq.gz	
MHS468_merged	PRJEB89273	Illumina HiSeq X Ten	MHS468_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS468_merged_decont_1.fastq.gz		MHS468_merged_decont_2.fastq.gz	
MHS469_merged	PRJEB89273	Illumina HiSeq X Ten	MHS469_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS469_merged_decont_1.fastq.gz		MHS469_merged_decont_2.fastq.gz	
MHS470_merged	PRJEB89273	Illumina HiSeq X Ten	MHS470_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS470_merged_decont_1.fastq.gz		MHS470_merged_decont_2.fastq.gz	
MHS471_merged	PRJEB89273	Illumina HiSeq X Ten	MHS471_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS471_merged_decont_1.fastq.gz		MHS471_merged_decont_2.fastq.gz	
MHS472_merged	PRJEB89273	Illumina HiSeq X Ten	MHS472_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS472_merged_decont_1.fastq.gz		MHS472_merged_decont_2.fastq.gz	
MHS473_merged	PRJEB89273	Illumina HiSeq X Ten	MHS473_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS473_merged_decont_1.fastq.gz		MHS473_merged_decont_2.fastq.gz	
MHS474_merged	PRJEB89273	Illumina HiSeq X Ten	MHS474_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS474_merged_decont_1.fastq.gz		MHS474_merged_decont_2.fastq.gz	
MHS475_merged	PRJEB89273	Illumina HiSeq X Ten	MHS475_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS475_merged_decont_1.fastq.gz		MHS475_merged_decont_2.fastq.gz	
MHS476_merged	PRJEB89273	Illumina HiSeq X Ten	MHS476_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS476_merged_decont_1.fastq.gz		MHS476_merged_decont_2.fastq.gz	
MHS477_merged	PRJEB89273	Illumina HiSeq X Ten	MHS477_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS477_merged_decont_1.fastq.gz		MHS477_merged_decont_2.fastq.gz	
MHS478_merged	PRJEB89273	Illumina HiSeq X Ten	MHS478_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS478_merged_decont_1.fastq.gz		MHS478_merged_decont_2.fastq.gz	
MHS479_merged	PRJEB89273	Illumina HiSeq X Ten	MHS479_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS479_merged_decont_1.fastq.gz		MHS479_merged_decont_2.fastq.gz	
MHS480_merged	PRJEB89273	Illumina HiSeq X Ten	MHS480_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS480_merged_decont_1.fastq.gz		MHS480_merged_decont_2.fastq.gz	
MHS481_merged	PRJEB89273	Illumina HiSeq X Ten	MHS481_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS481_merged_decont_1.fastq.gz		MHS481_merged_decont_2.fastq.gz	
MHS482_merged	PRJEB89273	Illumina HiSeq X Ten	MHS482_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS482_merged_decont_1.fastq.gz		MHS482_merged_decont_2.fastq.gz	
MHS483_merged	PRJEB89273	Illumina HiSeq X Ten	MHS483_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS483_merged_decont_1.fastq.gz		MHS483_merged_decont_2.fastq.gz	
MHS484_merged	PRJEB89273	Illumina HiSeq X Ten	MHS484_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS484_merged_decont_1.fastq.gz		MHS484_merged_decont_2.fastq.gz	
MHS485_merged	PRJEB89273	Illumina HiSeq X Ten	MHS485_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS485_merged_decont_1.fastq.gz		MHS485_merged_decont_2.fastq.gz	
MHS486_merged	PRJEB89273	Illumina HiSeq X Ten	MHS486_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS486_merged_decont_1.fastq.gz		MHS486_merged_decont_2.fastq.gz	
MHS487_merged	PRJEB89273	Illumina HiSeq X Ten	MHS487_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS487_merged_decont_1.fastq.gz		MHS487_merged_decont_2.fastq.gz	
MHS488_merged	PRJEB89273	Illumina HiSeq X Ten	MHS488_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS488_merged_decont_1.fastq.gz		MHS488_merged_decont_2.fastq.gz	
MHS489_merged	PRJEB89273	Illumina HiSeq X Ten	MHS489_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS489_merged_decont_1.fastq.gz		MHS489_merged_decont_2.fastq.gz	
MHS490_merged	PRJEB89273	Illumina HiSeq X Ten	MHS490_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS490_merged_decont_1.fastq.gz		MHS490_merged_decont_2.fastq.gz	
MHS491_merged	PRJEB89273	Illumina HiSeq X Ten	MHS491_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS491_merged_decont_1.fastq.gz		MHS491_merged_decont_2.fastq.gz	
MHS492_merged	PRJEB89273	Illumina HiSeq X Ten	MHS492_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS492_merged_decont_1.fastq.gz		MHS492_merged_decont_2.fastq.gz	
MHS493_merged	PRJEB89273	Illumina HiSeq X Ten	MHS493_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS493_merged_decont_1.fastq.gz		MHS493_merged_decont_2.fastq.gz	
MHS494_merged	PRJEB89273	Illumina HiSeq X Ten	MHS494_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS494_merged_decont_1.fastq.gz		MHS494_merged_decont_2.fastq.gz	
MHS495_merged	PRJEB89273	Illumina HiSeq X Ten	MHS495_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS495_merged_decont_1.fastq.gz		MHS495_merged_decont_2.fastq.gz	
MHS496_merged	PRJEB89273	Illumina HiSeq X Ten	MHS496_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS496_merged_decont_1.fastq.gz		MHS496_merged_decont_2.fastq.gz	
MHS497_merged	PRJEB89273	Illumina HiSeq X Ten	MHS497_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS497_merged_decont_1.fastq.gz		MHS497_merged_decont_2.fastq.gz	
MHS498_merged	PRJEB89273	Illumina HiSeq X Ten	MHS498_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS498_merged_decont_1.fastq.gz		MHS498_merged_decont_2.fastq.gz	
MHS499_merged	PRJEB89273	Illumina HiSeq X Ten	MHS499_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS499_merged_decont_1.fastq.gz		MHS499_merged_decont_2.fastq.gz	
MHS500_merged	PRJEB89273	Illumina HiSeq X Ten	MHS500_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS500_merged_decont_1.fastq.gz		MHS500_merged_decont_2.fastq.gz	
MHS501_merged	PRJEB89273	Illumina HiSeq X Ten	MHS501_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS501_merged_decont_1.fastq.gz		MHS501_merged_decont_2.fastq.gz	
MHS502_merged	PRJEB89273	Illumina HiSeq X Ten	MHS502_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS502_merged_decont_1.fastq.gz		MHS502_merged_decont_2.fastq.gz	
MHS503_merged	PRJEB89273	Illumina HiSeq X Ten	MHS503_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS503_merged_decont_1.fastq.gz		MHS503_merged_decont_2.fastq.gz	
MHS504_merged	PRJEB89273	Illumina HiSeq X Ten	MHS504_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS504_merged_decont_1.fastq.gz		MHS504_merged_decont_2.fastq.gz	
MHS505_merged	PRJEB89273	Illumina HiSeq X Ten	MHS505_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS505_merged_decont_1.fastq.gz		MHS505_merged_decont_2.fastq.gz	
MHS506_merged	PRJEB89273	Illumina HiSeq X Ten	MHS506_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS506_merged_decont_1.fastq.gz		MHS506_merged_decont_2.fastq.gz	
MHS507_merged	PRJEB89273	Illumina HiSeq X Ten	MHS507_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS507_merged_decont_1.fastq.gz		MHS507_merged_decont_2.fastq.gz	
MHS508_merged	PRJEB89273	Illumina HiSeq X Ten	MHS508_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS508_merged_decont_1.fastq.gz		MHS508_merged_decont_2.fastq.gz	
MHS509_merged	PRJEB89273	Illumina HiSeq X Ten	MHS509_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS509_merged_decont_1.fastq.gz		MHS509_merged_decont_2.fastq.gz	
MHS510_merged	PRJEB89273	Illumina HiSeq X Ten	MHS510_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS510_merged_decont_1.fastq.gz		MHS510_merged_decont_2.fastq.gz	
MHS511_merged	PRJEB89273	Illumina HiSeq X Ten	MHS511_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS511_merged_decont_1.fastq.gz		MHS511_merged_decont_2.fastq.gz	
MHS513_merged	PRJEB89273	Illumina HiSeq X Ten	MHS513_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS513_merged_decont_1.fastq.gz		MHS513_merged_decont_2.fastq.gz	
MHS514_merged	PRJEB89273	Illumina HiSeq X Ten	MHS514_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS514_merged_decont_1.fastq.gz		MHS514_merged_decont_2.fastq.gz	
MHS515_merged	PRJEB89273	Illumina HiSeq X Ten	MHS515_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS515_merged_decont_1.fastq.gz		MHS515_merged_decont_2.fastq.gz	
MHS516_merged	PRJEB89273	Illumina HiSeq X Ten	MHS516_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS516_merged_decont_1.fastq.gz		MHS516_merged_decont_2.fastq.gz	
MHS517_merged	PRJEB89273	Illumina HiSeq X Ten	MHS517_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS517_merged_decont_1.fastq.gz		MHS517_merged_decont_2.fastq.gz	
MHS518_merged	PRJEB89273	Illumina HiSeq X Ten	MHS518_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS518_merged_decont_1.fastq.gz		MHS518_merged_decont_2.fastq.gz	
MHS519_merged	PRJEB89273	Illumina HiSeq X Ten	MHS519_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS519_merged_decont_1.fastq.gz		MHS519_merged_decont_2.fastq.gz	
MHS520_merged	PRJEB89273	Illumina HiSeq X Ten	MHS520_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS520_merged_decont_1.fastq.gz		MHS520_merged_decont_2.fastq.gz	
MHS521_merged	PRJEB89273	Illumina HiSeq X Ten	MHS521_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS521_merged_decont_1.fastq.gz		MHS521_merged_decont_2.fastq.gz	
MHS522_merged	PRJEB89273	Illumina HiSeq X Ten	MHS522_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS522_merged_decont_1.fastq.gz		MHS522_merged_decont_2.fastq.gz	
MHS523_merged	PRJEB89273	Illumina HiSeq X Ten	MHS523_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS523_merged_decont_1.fastq.gz		MHS523_merged_decont_2.fastq.gz	
MHS524_merged	PRJEB89273	Illumina HiSeq X Ten	MHS524_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS524_merged_decont_1.fastq.gz		MHS524_merged_decont_2.fastq.gz	
MHS525_merged	PRJEB89273	Illumina HiSeq X Ten	MHS525_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS525_merged_decont_1.fastq.gz		MHS525_merged_decont_2.fastq.gz	
MHS526_merged	PRJEB89273	Illumina HiSeq X Ten	MHS526_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS526_merged_decont_1.fastq.gz		MHS526_merged_decont_2.fastq.gz	
MHS527_merged	PRJEB89273	Illumina HiSeq X Ten	MHS527_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS527_merged_decont_1.fastq.gz		MHS527_merged_decont_2.fastq.gz	
MHS528_merged	PRJEB89273	Illumina HiSeq X Ten	MHS528_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS528_merged_decont_1.fastq.gz		MHS528_merged_decont_2.fastq.gz	
MHS529_merged	PRJEB89273	Illumina HiSeq X Ten	MHS529_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS529_merged_decont_1.fastq.gz		MHS529_merged_decont_2.fastq.gz	
MHS530_merged	PRJEB89273	Illumina HiSeq X Ten	MHS530_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS530_merged_decont_1.fastq.gz		MHS530_merged_decont_2.fastq.gz	
MHS531_merged	PRJEB89273	Illumina HiSeq X Ten	MHS531_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS531_merged_decont_1.fastq.gz		MHS531_merged_decont_2.fastq.gz	
MHS532_merged	PRJEB89273	Illumina HiSeq X Ten	MHS532_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS532_merged_decont_1.fastq.gz		MHS532_merged_decont_2.fastq.gz	
MHS533_merged	PRJEB89273	Illumina HiSeq X Ten	MHS533_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS533_merged_decont_1.fastq.gz		MHS533_merged_decont_2.fastq.gz	
MHS534_merged	PRJEB89273	Illumina HiSeq X Ten	MHS534_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS534_merged_decont_1.fastq.gz		MHS534_merged_decont_2.fastq.gz	
MHS535_merged	PRJEB89273	Illumina HiSeq X Ten	MHS535_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS535_merged_decont_1.fastq.gz		MHS535_merged_decont_2.fastq.gz	
MHS536_merged	PRJEB89273	Illumina HiSeq X Ten	MHS536_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS536_merged_decont_1.fastq.gz		MHS536_merged_decont_2.fastq.gz	
MHS537_merged	PRJEB89273	Illumina HiSeq X Ten	MHS537_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS537_merged_decont_1.fastq.gz		MHS537_merged_decont_2.fastq.gz	
MHS538_merged	PRJEB89273	Illumina HiSeq X Ten	MHS538_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS538_merged_decont_1.fastq.gz		MHS538_merged_decont_2.fastq.gz	
MHS539_merged	PRJEB89273	Illumina HiSeq X Ten	MHS539_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS539_merged_decont_1.fastq.gz		MHS539_merged_decont_2.fastq.gz	
MHS540_merged	PRJEB89273	Illumina HiSeq X Ten	MHS540_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS540_merged_decont_1.fastq.gz		MHS540_merged_decont_2.fastq.gz	
MHS541_merged	PRJEB89273	Illumina HiSeq X Ten	MHS541_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS541_merged_decont_1.fastq.gz		MHS541_merged_decont_2.fastq.gz	
MHS542_merged	PRJEB89273	Illumina HiSeq X Ten	MHS542_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS542_merged_decont_1.fastq.gz		MHS542_merged_decont_2.fastq.gz	
MHS543_merged	PRJEB89273	Illumina HiSeq X Ten	MHS543_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS543_merged_decont_1.fastq.gz		MHS543_merged_decont_2.fastq.gz	
MHS544_merged	PRJEB89273	Illumina HiSeq X Ten	MHS544_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS544_merged_decont_1.fastq.gz		MHS544_merged_decont_2.fastq.gz	
MHS545_merged	PRJEB89273	Illumina HiSeq X Ten	MHS545_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS545_merged_decont_1.fastq.gz		MHS545_merged_decont_2.fastq.gz	
MHS546_merged	PRJEB89273	Illumina HiSeq X Ten	MHS546_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS546_merged_decont_1.fastq.gz		MHS546_merged_decont_2.fastq.gz	
MHS547_merged	PRJEB89273	Illumina HiSeq X Ten	MHS547_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS547_merged_decont_1.fastq.gz		MHS547_merged_decont_2.fastq.gz	
MHS548_merged	PRJEB89273	Illumina HiSeq X Ten	MHS548_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS548_merged_decont_1.fastq.gz		MHS548_merged_decont_2.fastq.gz	
MHS549_merged	PRJEB89273	Illumina HiSeq X Ten	MHS549_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS549_merged_decont_1.fastq.gz		MHS549_merged_decont_2.fastq.gz	
MHS551_merged	PRJEB89273	Illumina HiSeq X Ten	MHS551_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS551_merged_decont_1.fastq.gz		MHS551_merged_decont_2.fastq.gz	
MHS552_merged	PRJEB89273	Illumina HiSeq X Ten	MHS552_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS552_merged_decont_1.fastq.gz		MHS552_merged_decont_2.fastq.gz	
MHS553_merged	PRJEB89273	Illumina HiSeq X Ten	MHS553_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS553_merged_decont_1.fastq.gz		MHS553_merged_decont_2.fastq.gz	
MHS554_merged	PRJEB89273	Illumina HiSeq X Ten	MHS554_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS554_merged_decont_1.fastq.gz		MHS554_merged_decont_2.fastq.gz	
MHS555_merged	PRJEB89273	Illumina HiSeq X Ten	MHS555_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS555_merged_decont_1.fastq.gz		MHS555_merged_decont_2.fastq.gz	
MHS556_merged	PRJEB89273	Illumina HiSeq X Ten	MHS556_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS556_merged_decont_1.fastq.gz		MHS556_merged_decont_2.fastq.gz	
MHS557_merged	PRJEB89273	Illumina HiSeq X Ten	MHS557_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS557_merged_decont_1.fastq.gz		MHS557_merged_decont_2.fastq.gz	
MHS558_merged	PRJEB89273	Illumina HiSeq X Ten	MHS558_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS558_merged_decont_1.fastq.gz		MHS558_merged_decont_2.fastq.gz	
MHS559_merged	PRJEB89273	Illumina HiSeq X Ten	MHS559_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS559_merged_decont_1.fastq.gz		MHS559_merged_decont_2.fastq.gz	
MHS560_merged	PRJEB89273	Illumina HiSeq X Ten	MHS560_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS560_merged_decont_1.fastq.gz		MHS560_merged_decont_2.fastq.gz	
MHS561_merged	PRJEB89273	Illumina HiSeq X Ten	MHS561_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS561_merged_decont_1.fastq.gz		MHS561_merged_decont_2.fastq.gz	
MHS562_merged	PRJEB89273	Illumina HiSeq X Ten	MHS562_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS562_merged_decont_1.fastq.gz		MHS562_merged_decont_2.fastq.gz	
MHS563_merged	PRJEB89273	Illumina HiSeq X Ten	MHS563_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS563_merged_decont_1.fastq.gz		MHS563_merged_decont_2.fastq.gz	
MHS564_merged	PRJEB89273	Illumina HiSeq X Ten	MHS564_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS564_merged_decont_1.fastq.gz		MHS564_merged_decont_2.fastq.gz	
MHS565_merged	PRJEB89273	Illumina HiSeq X Ten	MHS565_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS565_merged_decont_1.fastq.gz		MHS565_merged_decont_2.fastq.gz	
MHS566_merged	PRJEB89273	Illumina HiSeq X Ten	MHS566_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS566_merged_decont_1.fastq.gz		MHS566_merged_decont_2.fastq.gz	
MHS567_merged	PRJEB89273	Illumina HiSeq X Ten	MHS567_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS567_merged_decont_1.fastq.gz		MHS567_merged_decont_2.fastq.gz	
MHS568_merged	PRJEB89273	Illumina HiSeq X Ten	MHS568_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS568_merged_decont_1.fastq.gz		MHS568_merged_decont_2.fastq.gz	
MHS569_merged	PRJEB89273	Illumina HiSeq X Ten	MHS569_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS569_merged_decont_1.fastq.gz		MHS569_merged_decont_2.fastq.gz	
MHS570_merged	PRJEB89273	Illumina HiSeq X Ten	MHS570_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS570_merged_decont_1.fastq.gz		MHS570_merged_decont_2.fastq.gz	
MHS571_merged	PRJEB89273	Illumina HiSeq X Ten	MHS571_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS571_merged_decont_1.fastq.gz		MHS571_merged_decont_2.fastq.gz	
MHS572_merged	PRJEB89273	Illumina HiSeq X Ten	MHS572_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS572_merged_decont_1.fastq.gz		MHS572_merged_decont_2.fastq.gz	
MHS573_merged	PRJEB89273	Illumina HiSeq X Ten	MHS573_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS573_merged_decont_1.fastq.gz		MHS573_merged_decont_2.fastq.gz	
MHS574_merged	PRJEB89273	Illumina HiSeq X Ten	MHS574_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS574_merged_decont_1.fastq.gz		MHS574_merged_decont_2.fastq.gz	
MHS575_merged	PRJEB89273	Illumina HiSeq X Ten	MHS575_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS575_merged_decont_1.fastq.gz		MHS575_merged_decont_2.fastq.gz	
MHS576_merged	PRJEB89273	Illumina HiSeq X Ten	MHS576_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS576_merged_decont_1.fastq.gz		MHS576_merged_decont_2.fastq.gz	
MHS577_merged	PRJEB89273	Illumina HiSeq X Ten	MHS577_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS577_merged_decont_1.fastq.gz		MHS577_merged_decont_2.fastq.gz	
MHS578_merged	PRJEB89273	Illumina HiSeq X Ten	MHS578_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS578_merged_decont_1.fastq.gz		MHS578_merged_decont_2.fastq.gz	
MHS579_merged	PRJEB89273	Illumina HiSeq X Ten	MHS579_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS579_merged_decont_1.fastq.gz		MHS579_merged_decont_2.fastq.gz	
MHS581_merged	PRJEB89273	Illumina HiSeq X Ten	MHS581_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS581_merged_decont_1.fastq.gz		MHS581_merged_decont_2.fastq.gz	
MHS582_merged	PRJEB89273	Illumina HiSeq X Ten	MHS582_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS582_merged_decont_1.fastq.gz		MHS582_merged_decont_2.fastq.gz	
MHS583_merged	PRJEB89273	Illumina HiSeq X Ten	MHS583_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS583_merged_decont_1.fastq.gz		MHS583_merged_decont_2.fastq.gz	
MHS584_merged	PRJEB89273	Illumina HiSeq X Ten	MHS584_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS584_merged_decont_1.fastq.gz		MHS584_merged_decont_2.fastq.gz	
MHS585_merged	PRJEB89273	Illumina HiSeq X Ten	MHS585_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS585_merged_decont_1.fastq.gz		MHS585_merged_decont_2.fastq.gz	
MHS586_merged	PRJEB89273	Illumina HiSeq X Ten	MHS586_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS586_merged_decont_1.fastq.gz		MHS586_merged_decont_2.fastq.gz	
MHS587_merged	PRJEB89273	Illumina HiSeq X Ten	MHS587_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS587_merged_decont_1.fastq.gz		MHS587_merged_decont_2.fastq.gz	
MHS588_merged	PRJEB89273	Illumina HiSeq X Ten	MHS588_merged	METATRANSCRIPTOMIC	Inverse rRNA selection	RNA-Seq	PAIRED	MHS588_merged_decont_1.fastq.gz		MHS588_merged_decont_2.fastq.gz	
