Accession	Library_ID	Title	Total_bases_Mb	FastQ_URL	FastQ_filename	PRJNA	SRX	strain	expt_cat	expt_desc	plotting_cat	Instrument	pubmed	warning	study
SRR5417100	SRR5417100	GSM2563905: SE1457-3; Staphylococcus epidermidis; RNA-Seq	31429	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR541/000/SRR5417100/SRR5417100_2.fastq.gz	SRR5417100_2.fastq.gz	PRJNA381636	SRX2708698	S_epidermidis_1457	log_phase	log_phase_liquid	log_phase_liquid	HiSeq_2500	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5686610/		Wang_et_al_2017
SRR5443782	SRR5443782	GSM2574692: The parent strain (the control strain)_rep1; Staphylococcus epidermidis; RNA-Seq	69495	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR544/002/SRR5443782/SRR5443782_1.fastq.gz	SRR5443782_1.fastq.gz	PRJNA382568	SRX2733090	S_epidermidis_1457	stationary_phase	stationary_phase_liquid	stationary_phase_liquid	HiSeq_2500	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5686610/		Wang_et_al_2017
SRR5443782	SRR5443782	GSM2574692: The parent strain (the control strain)_rep1; Staphylococcus epidermidis; RNA-Seq	69495	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR544/002/SRR5443782/SRR5443782_2.fastq.gz	SRR5443782_2.fastq.gz	PRJNA382568	SRX2733090	S_epidermidis_1457	stationary_phase	stationary_phase_liquid	stationary_phase_liquid	HiSeq_2500	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5686610/		Wang_et_al_2017
SRR5443783	SRR5443783	GSM2574693: The parent strain (the control strain)_rep2; Staphylococcus epidermidis; RNA-Seq	71397	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR544/003/SRR5443783/SRR5443783_1.fastq.gz	SRR5443783_1.fastq.gz	PRJNA382568	SRX2733091	S_epidermidis_1457	stationary_phase	stationary_phase_liquid	stationary_phase_liquid	HiSeq_2500	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5686610/		Wang_et_al_2017
SRR5443783	SRR5443783	GSM2574693: The parent strain (the control strain)_rep2; Staphylococcus epidermidis; RNA-Seq	71397	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR544/003/SRR5443783/SRR5443783_2.fastq.gz	SRR5443783_2.fastq.gz	PRJNA382568	SRX2733091	S_epidermidis_1457	stationary_phase	stationary_phase_liquid	stationary_phase_liquid	HiSeq_2500	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5686610/		Wang_et_al_2017
SRR5443784	SRR5443784	GSM2574694: The parent strain (the control strain)_rep3; Staphylococcus epidermidis; RNA-Seq	69289	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR544/004/SRR5443784/SRR5443784_1.fastq.gz	SRR5443784_1.fastq.gz	PRJNA382568	SRX2733092	S_epidermidis_1457	stationary_phase	stationary_phase_liquid	stationary_phase_liquid	HiSeq_2500	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5686610/		Wang_et_al_2017
SRR5443784	SRR5443784	GSM2574694: The parent strain (the control strain)_rep3; Staphylococcus epidermidis; RNA-Seq	69289	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR544/004/SRR5443784/SRR5443784_2.fastq.gz	SRR5443784_2.fastq.gz	PRJNA382568	SRX2733092	S_epidermidis_1457	stationary_phase	stationary_phase_liquid	stationary_phase_liquid	HiSeq_2500	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5686610/		Wang_et_al_2017
	Sepi_ctrl1							S_epidermidis_1457	log_phase	log_phase_liquid	log_phase_liquid_this_study	HiSeq_X_Ten			this_study
	Sepi_ctrl2							S_epidermidis_1457	log_phase	log_phase_liquid	log_phase_liquid_this_study	HiSeq_X_Ten			this_study
	Sepi_ctrl3							S_epidermidis_1457	log_phase	log_phase_liquid	log_phase_liquid_this_study	HiSeq_X_Ten			this_study
	Sepi_OS1							S_epidermidis_1457	osmotic_stress	osmotic_stress_liquid	osmotic_stress_liquid_this_study	HiSeq_X_Ten			this_study
	Sepi_OS2							S_epidermidis_1457	osmotic_stress	osmotic_stress_liquid	osmotic_stress_liquid_this_study	HiSeq_X_Ten			this_study
	Sepi_OS3							S_epidermidis_1457	osmotic_stress	osmotic_stress_liquid	osmotic_stress_liquid_this_study	HiSeq_X_Ten			this_study
	Sepi_SP1							S_epidermidis_1457	stationary_phase	stationary_phase_liquid	stationary_phase_liquid_this_study	HiSeq_X_Ten			this_study
	Sepi_SP2							S_epidermidis_1457	stationary_phase	stationary_phase_liquid	stationary_phase_liquid_this_study	HiSeq_X_Ten			this_study
	Sepi_SP3							S_epidermidis_1457	stationary_phase	stationary_phase_liquid	stationary_phase_liquid_this_study	HiSeq_X_Ten			this_study
