PAG	DNF11_0001	Pregnancy-associated glycoprotein
	DNF11_1026	uncharacterized protein
	DNF11_1027	Vps51/Vps67
	DNF11_1028	Synaptobrevin
	DNF11_1029	hypothetical protein
wis4	DNF11_1030	MAP kinase kinase kinase wis4
ric1	DNF11_1031	Protein ric1
DIC1	DNF11_1032	Mitochondrial dicarboxylate transporter
SPF1	DNF11_1033	putative cation-transporting ATPase 1
STE11	DNF11_1034	Serine/threonine-protein kinase STE11
	DNF11_1035	uncharacterized protein
	DNF11_1036	hypothetical protein
SEC2	DNF11_1037	Rab guanine nucleotide exchange factor SEC2
	DNF11_1038	hypothetical protein
rad15	DNF11_1039	DNA repair helicase rad15
tef3_2	DNF11_1040	Elongation factor 3
	DNF11_1041	She9 / Mdm33 family protein
	DNF11_1042	Replication factor A protein 3
ACS-1	DNF11_1043	Acetyl-coenzyme A synthetase
TIM11	DNF11_1044	ATP synthase subunit e, mitochondrial
EGD1	DNF11_1045	Nascent polypeptide-associated complex subunit beta
NCBP2	DNF11_1046	Nuclear cap-binding protein subunit 2
CDC123	DNF11_1047	Cell division cycle protein 123
asnS	DNF11_1048	Asparagine--tRNA ligase
CHY1	DNF11_1049	3-hydroxyisobutyryl-CoA hydrolase 1
rib4	DNF11_1050	6,7-dimethyl-8-ribityllumazine synthase
	DNF11_1051	Mitochondrial ribosomal protein subunit
COPA	DNF11_1052	Proxenin
ROT1_1	DNF11_1053	Protein ROT1
Pigt	DNF11_1054	GPI transamidase component PIG-T
FRE1	DNF11_1055	Ferric/cupric reductase transmembrane component 1
RRP12	DNF11_1056	Ribosomal RNA-processing protein 12
letm1	DNF11_1057	LETM1 and EF-hand domain-containing protein 1, mitochondrial
	DNF11_1058	Chitin deacetylase
phd1	DNF11_1059	Histone deacetylase phd1
	DNF11_1060	uncharacterized protein
hulA	DNF11_1061	E3 ubiquitin-protein ligase RSP5
MZM1	DNF11_1062	Mitochondrial zinc maintenance protein 1, mitochondrial
SLT11	DNF11_1063	Pre-mRNA-splicing factor SLT11
NMT1	DNF11_1064	Glycylpeptide N-tetradecanoyltransferase
nca2	DNF11_1065	Nuclear control of ATPase protein 2
mcs4	DNF11_1066	Response regulator mcs4
sur2	DNF11_1067	Sphingolipid C4-hydroxylase sur2
	DNF11_1068	hypothetical protein
PEX10	DNF11_1069	Peroxisome biogenesis factor 10
	DNF11_1070	molecular chaperone DnaK
	DNF11_1071	Histone promoter control 2 (HPC2)
Uap1	DNF11_1072	UDP-N-acetylglucosamine pyrophosphorylase
	DNF11_1073	hypothetical protein
CMT1	DNF11_1074	Alpha-1,3-mannosyltransferase CMT1
SMU1	DNF11_1075	Serine/threonine-protein kinase SMU1
RAD9A	DNF11_1076	Cell cycle checkpoint control protein RAD9A
TIP41	DNF11_1077	Type 2A phosphatase activator TIP41
HAT1	DNF11_1078	Histone acetyltransferase type B catalytic subunit
	DNF11_1079	hypothetical protein
	DNF11_1080	FUN14 family protein
impact-A	DNF11_1081	Protein IMPACT-A
	DNF11_1082	putative transcriptional regulatory protein C1F7.11c
	DNF11_1083	hypothetical protein
SLT2	DNF11_1084	Mitogen-activated protein kinase SLT2/MPK1
TPM2	DNF11_1085	Tropomyosin-2
hus5	DNF11_1086	SUMO-conjugating enzyme ubc9
Ugcg	DNF11_1087	Ceramide glucosyltransferase
	DNF11_1088	uncharacterized protein
FDH1	DNF11_1089	S-(hydroxymethyl)glutathione dehydrogenase
	DNF11_1090	hypothetical protein
PSMD9	DNF11_1091	26S proteasome non-ATPase regulatory subunit 9
	DNF11_1092	putative U3 small nucleolar RNA-associated protein 11
fnx2	DNF11_1093	Vacuolar membrane amino acid uptake transporter fnx2
Csnk1d	DNF11_1094	Casein kinase I isoform delta
	DNF11_1095	Ion transport protein
pho2	DNF11_1096	4-nitrophenylphosphatase
BPL1	DNF11_1097	Biotin--[acetyl-CoA-carboxylase
CUL4B	DNF11_1098	Cullin-4B
ptr1	DNF11_1099	E3 ubiquitin-protein ligase ptr1
	DNF11_1100	hypothetical protein
	DNF11_1101	hypothetical protein
UMS2	DNF11_1102	Heat shock 70 kDa protein 2
	DNF11_1103	RING-finger-containing E3 ubiquitin ligase
tfg2	DNF11_1104	Transcription initiation factor IIF subunit beta
	DNF11_1105	Putative phosphoserine aminotransferase
mcl1	DNF11_1106	Minichromosome loss protein 1
asl1_1	DNF11_1107	Alkali-sensitive linkage protein 1
spt20	DNF11_1108	SAGA complex subunit spt20
pli1	DNF11_1109	E3 SUMO-protein ligase pli1
Wrnip1	DNF11_1110	ATPase WRNIP1
	DNF11_1111	Mitochondrial inner membrane organizing system protein
spp1	DNF11_1112	Set1 complex component spp1
ppk13	DNF11_1113	Serine/threonine-protein kinase ppk13
	DNF11_1114	Peroxisomal biogenesis factor 11 (PEX11)
rpsQ	DNF11_1115	30S ribosomal protein S17
zds1	DNF11_1116	Protein zds1
	DNF11_1117	Smr domain-containing protein.03
	DNF11_1118	uncharacterized protein
	DNF11_1119	uncharacterized protein
	DNF11_1120	Urb2/Npa2 family protein
manC	DNF11_1121	Mannose-1-phosphate guanylyltransferase
sir1	DNF11_1122	Sulfite reductase [NADPH
dis3	DNF11_1123	Exosome complex exonuclease dis3
awd	DNF11_1124	Nucleoside diphosphate kinase
POLR3E	DNF11_1125	DNA-directed RNA polymerase III subunit RPC5
taf7	DNF11_1126	Transcription initiation factor TFIID subunit 7
	DNF11_1127	Calponin
	DNF11_1128	hypothetical protein
zhf1	DNF11_1129	Zinc homeostasis factor 1
RAI1	DNF11_1130	Decapping nuclease RAI1
TEF1	DNF11_1131	Elongation factor 1-alpha
	DNF11_1132	hypothetical protein
UBE2N	DNF11_1133	Ubiquitin-conjugating enzyme E2 N
	DNF11_1134	uncharacterized protein
	DNF11_1135	hypothetical protein
gpm1	DNF11_1136	Phosphoglycerate mutase
CHO2	DNF11_1137	Phosphatidylethanolamine N-methyltransferase
REV3	DNF11_1138	DNA polymerase zeta catalytic subunit
paa1	DNF11_1139	Protein phosphatase PP2A regulatory subunit A
	DNF11_1140	CRAL-TRIO domain-containing protein C23B6.04c
ERV29	DNF11_1141	ER-derived vesicles protein ERV29
ARG5,6	DNF11_1142	Acetylglutamate kinase
	DNF11_1143	hypothetical protein
	DNF11_1144	hypothetical protein
	DNF11_1145	hypothetical protein
svkA_2	DNF11_1146	Serine/threonine-protein kinase svkA
AMPP_1	DNF11_1147	putative Xaa-Pro aminopeptidase P
	DNF11_1148	Adenosylhomocysteinase
	DNF11_1149	Mitochondrial export protein Som1
	DNF11_1150	hypothetical protein
cdc31	DNF11_1151	Cell division control protein 31
TOA2	DNF11_1152	Transcription initiation factor IIA subunit 2
	DNF11_1153	Cutinase gene palindrome-binding protein
	DNF11_1154	Ctf8
SLD5	DNF11_1155	DNA replication complex GINS protein SLD5
gal1	DNF11_1156	Galactokinase
SWC4	DNF11_1157	SWR1-complex protein 4
PPCS	DNF11_1158	Phosphopantothenate--cysteine ligase
iec1	DNF11_1159	INO80 complex subunit 1
lyrm5a	DNF11_1160	LYR motif-containing protein 5A
rhlG	DNF11_1161	Rhamnolipids biosynthesis 3-oxoacyl-[acyl-carrier-protein
MMM1	DNF11_1162	Maintenance of mitochondrial morphology protein 1
ash2	DNF11_1163	Set1 complex component ash2
TMA22	DNF11_1164	Translation machinery-associated protein 22
gtr2	DNF11_1165	GTP-binding protein gtr2
TSF1	DNF11_1166	Elongation factor Ts, mitochondrial
	DNF11_1167	uncharacterized protein
	DNF11_1168	hypothetical protein
mcfL	DNF11_1169	Mitochondrial substrate carrier family protein L
utp23	DNF11_1170	rRNA-processing protein utp23
ERG1	DNF11_1171	Squalene monooxygenase
LACS7	DNF11_1172	Long chain acyl-CoA synthetase 7, peroxisomal
PEP5	DNF11_1173	Vacuolar membrane protein PEP5
	DNF11_1174	hypothetical protein
ypt2	DNF11_1175	GTP-binding protein ypt2
ATP10	DNF11_1176	Mitochondrial ATPase complex subunit ATP10
utp6	DNF11_1177	U3 small nucleolar RNA-associated protein 6
pri2	DNF11_1178	DNA primase large subunit
its3	DNF11_1179	Phosphatidylinositol 4-phosphate 5-kinase its3
	DNF11_1180	hypothetical protein
LIP8	DNF11_1181	Lipase 8
his4	DNF11_1182	Cyclase
	DNF11_1183	PhoD-like phosphatase
	DNF11_1184	37S ribosomal protein S7, mitochondrial
	DNF11_1185	hypothetical protein
gacS	DNF11_1186	Sensor protein GacS
egr1	DNF11_1187	Early growth response protein 1
sua7	DNF11_1188	Transcription initiation factor IIB
nup107	DNF11_1189	Nucleoporin nup107
RPF1	DNF11_1190	Ribosome production factor 1
	DNF11_1191	Cytochrome c oxidase subunit VIIc
imp2	DNF11_1192	Septation protein imp2
ALR1	DNF11_1193	Magnesium transporter ALR1
pcn1	DNF11_1194	Proliferating cell nuclear antigen
RTA1	DNF11_1195	Protein RTA1
	DNF11_1196	hypothetical protein
TPP2	DNF11_1197	Tripeptidyl-peptidase 2
MRS6	DNF11_1198	Rab proteins geranylgeranyltransferase componentA
	DNF11_1199	Allergen Asp f 7
lag1	DNF11_1200	Sphingosine N-acyltransferase lag1
pro1	DNF11_1201	putative gamma-glutamyl phosphate reductase
	DNF11_1202	hypothetical protein
FEN1	DNF11_1203	Flap endonuclease 1
KRE6_2	DNF11_1204	Beta-glucan synthesis-associated protein KRE6
KRE6_3	DNF11_1205	Beta-glucan synthesis-associated protein KRE6
fezf1	DNF11_1206	Fez family zinc finger protein 1
set13	DNF11_1207	Ribosomal N-lysine methyltransferase 4
	DNF11_1208	uncharacterized protein
elc1	DNF11_1209	Elongin-C
	DNF11_1210	hypothetical protein
vma16	DNF11_1211	putative V-type proton ATPase 20 kDa proteolipidsubunit
GPI8	DNF11_1212	GPI-anchor transamidase
dhps	DNF11_1213	putative deoxyhypusine synthase
uba3	DNF11_1214	NEDD8-activating enzyme E1 catalytic subunit
	DNF11_1215	hypothetical protein
	DNF11_1216	G-patch and R3H domain-containing protein C30B4.02c
	DNF11_1217	NAD-dependent protein deacetylase hst1
	DNF11_1218	hypothetical protein
	DNF11_1219	DASH complex subunit Dad3
RRP14	DNF11_1220	Ribosomal RNA-processing protein 14
RSA4	DNF11_1221	Ribosome assembly protein 4
UBE2G2	DNF11_1222	Ubiquitin-conjugating enzyme E2 G2
	DNF11_1223	hypothetical protein
palA	DNF11_1224	pH-response regulator protein palA/RIM20
TSR2	DNF11_1225	Pre-rRNA-processing protein TSR2
	DNF11_1226	hypothetical protein
	DNF11_1227	uncharacterized protein
	DNF11_1228	COG4 transport protein
MCR1_2	DNF11_1229	NADH-cytochrome b5 reductase 2
	DNF11_1230	hypothetical protein
foxc1	DNF11_1231	Forkhead box protein C1
MET14	DNF11_1232	Adenylyl-sulfate kinase
sim3	DNF11_1233	NASP-related protein sim3
set10	DNF11_1234	Ribosomal N-lysine methyltransferase set10
LARP1B	DNF11_1235	La-related protein 1B
	DNF11_1236	hypothetical protein
ETP1	DNF11_1237	RING finger protein ETP1
iksA	DNF11_1238	putative serine/threonine-protein kinase iksA
CDC48	DNF11_1239	Cell division control protein 48
	DNF11_1240	hypothetical protein
	DNF11_1241	PI-PLC X domain-containing protein
hsp-88	DNF11_1242	Heat shock protein Hsp88
rpl7b	DNF11_1243	60S ribosomal protein L7-B
SNX3	DNF11_1244	Sorting nexin-3
ERG3	DNF11_1245	C-5 sterol desaturase
	DNF11_1246	hypothetical protein
Sirt2	DNF11_1247	NAD-dependent protein deacetylase sirtuin-2
Zcchc9	DNF11_1248	Zinc finger CCHC domain-containing protein 9
bos1	DNF11_1249	Protein transport protein bos1
	DNF11_1250	putative protein arginine N-methyltransferase
	DNF11_1251	NADH-ubiquinone oxidoreductase 19.3 kDa subunit,mitochondrial
nak1	DNF11_1252	Serine/threonine-protein kinase nak1
	DNF11_1253	Putative phosphatidate cytidylyltransferase
	DNF11_1254	hypothetical protein
ppk18	DNF11_1255	Serine/threonine-protein kinase ppk18
fnx1	DNF11_1256	Multidrug resistance protein fnx1
DRE2	DNF11_1257	Fe-S cluster assembly protein DRE2
	DNF11_1258	Mitotic checkpoint protein PRCC_Cterm
emp24	DNF11_1259	Endosomal protein P24B
YRB1	DNF11_1260	Ran-specific GTPase-activating protein 1
sfc1	DNF11_1261	Transcription factor tau subunit sfc1
POL12	DNF11_1262	DNA polymerase alpha subunit B
NOP58	DNF11_1263	Nucleolar protein 58
	DNF11_1264	Putative thiosulfate sulfurtransferase, mitochondrial
	DNF11_1265	hypothetical protein
psd2	DNF11_1266	Phosphatidylserine decarboxylase 2 alpha chain
nup82	DNF11_1267	Nucleoporin nup82
RPL29	DNF11_1268	60S ribosomal protein L29
	DNF11_1269	Nnf1
MDM12	DNF11_1270	Mitochondrial distribution and morphology protein 12
	DNF11_1271	hypothetical protein
mex67	DNF11_1272	mRNA export factor mex67
TAO3	DNF11_1273	Cell morphogenesis protein PAG1
lys1	DNF11_1274	L-aminoadipate-semialdehyde dehydrogenase
	DNF11_1275	Cell cycle control protein, G10 family
new16	DNF11_1276	Cytochrome c oxidase subunit 6B-like protein new16
sua5	DNF11_1277	tRNA threonylcarbamoyladenosine biosynthesis protein sua5
srk1	DNF11_1278	Serine/threonine-protein kinase srk1
	DNF11_1279	hypothetical protein
BCKDK_2	DNF11_1280	[3-methyl-2-oxobutanoate dehydrogenase [lipoamide
ufe1	DNF11_1281	Syntaxin ufe1
BUD23	DNF11_1282	Putative methyltransferase BUD23
	DNF11_1283	hypothetical protein
sfc4	DNF11_1284	Transcription factor tau subunit sfc4
RPD3_2	DNF11_1285	Histone deacetylase RPD3
	DNF11_1286	Putative magnesium-dependent phosphatase P8B7.31
pex2	DNF11_1287	Peroxisome biogenesis factor 2
	DNF11_1288	rRNA processing/ribosome biogenesis
SEC10	DNF11_1289	Exocyst complex component SEC10
PSF3	DNF11_1290	DNA replication complex GINS protein PSF3
thi4	DNF11_1291	Hydroxyethylthiazole kinase
rps18	DNF11_1292	30S ribosomal protein S18, chloroplastic
CRCP	DNF11_1293	DNA-directed RNA polymerase III subunit RPC9
	DNF11_1294	uncharacterized protein
CPS1	DNF11_1295	Carboxypeptidase S
	DNF11_1296	hypothetical protein
	DNF11_1297	hypothetical protein
	DNF11_1298	hypothetical protein
dom34	DNF11_1299	Protein dom34
	DNF11_1300	NADH dehydrogenase [ubiquinone
	DNF11_1301	Anticodon-binding domain protein
CACTIN	DNF11_1302	Cactin
	DNF11_1303	hypothetical protein
PYR3	DNF11_1304	Dihydroorotase
klp6	DNF11_1305	Kinesin-like protein 6
Nup160	DNF11_1306	Nuclear pore complex protein Nup160
Rpn11	DNF11_1307	26S proteasome non-ATPase regulatory subunit 14
	DNF11_1308	hypothetical protein
	DNF11_1309	hypothetical protein
	DNF11_1310	hypothetical protein
clr3	DNF11_1311	Histone deacetylase clr3
flbA	DNF11_1312	Developmental regulator flbA
	DNF11_1313	Cell cycle control protein, G10 family
RIB5	DNF11_1314	Riboflavin synthase
cdc11	DNF11_1315	Septation initiation network scaffold protein cdc11
ase1	DNF11_1316	Anaphase spindle elongation protein 1
vps52	DNF11_1317	Vacuolar protein sorting-associated protein 52
ZAP1	DNF11_1318	Zinc-responsive transcriptional regulator ZAP1
Daglb	DNF11_1319	Sn1-specific diacylglycerol lipase beta
RPS13	DNF11_1320	40S ribosomal protein S13
RPS6A	DNF11_1321	40S ribosomal protein S6
	DNF11_1322	hypothetical protein
	DNF11_1323	hypothetical protein
wee1	DNF11_1324	Mitosis inhibitor protein kinase wee1
	DNF11_1325	uncharacterized protein
	DNF11_1326	Putative SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 3-like 3
	DNF11_1327	Serine carboxypeptidase
IPO11	DNF11_1328	Importin-11
	DNF11_1329	Molybdopterin-synthase sulfurtransferase
	DNF11_1330	hypothetical protein
SMO2-1	DNF11_1331	Methylsterol monooxygenase 2-1
	DNF11_1332	hypothetical protein
Ube2j1	DNF11_1333	Ubiquitin-conjugating enzyme E2 J1
	DNF11_1334	hypothetical protein
mxr1	DNF11_1335	putative peptide methionine sulfoxide reductase
	DNF11_1336	HbrB-like protein
	DNF11_1337	hypothetical protein
	DNF11_1338	uncharacterized protein
NSUN3	DNF11_1339	Putative methyltransferase NSUN3
nagk	DNF11_1340	N-acetyl-D-glucosamine kinase
ARHGEF37	DNF11_1341	Rho guanine nucleotide exchange factor 37
AP1M1	DNF11_1342	AP-1 complex subunit mu-1
LUG	DNF11_1343	Transcriptional corepressor LEUNIG
rpl18b	DNF11_1344	60S ribosomal protein L18-B
	DNF11_1345	splicing factor, CC1-like family
idh2	DNF11_1346	Isocitrate dehydrogenase [NAD
IDH1	DNF11_1347	Isocitrate dehydrogenase [NAD
HTA1	DNF11_1348	Histone H2A
HTB1	DNF11_1349	Histone H2B
chmp3	DNF11_1350	Charged multivesicular body protein 3
ccnl1	DNF11_1351	Cyclin-L1
tfb4	DNF11_1352	RNA polymerase II transcription factor B subunit4
ran1_2	DNF11_1353	Negative regulator of sexual conjugation and meiosis
erg5	DNF11_1354	Cytochrome P450 61
FKS1	DNF11_1355	1,3-beta-glucan synthase component FKS1
	DNF11_1356	hypothetical protein
	DNF11_1357	hypothetical protein
stuA	DNF11_1358	Cell pattern formation-associated protein stuA
LPXN	DNF11_1359	Leupaxin
	DNF11_1360	hypothetical protein
	DNF11_1361	putative rhomboid protein
BET1	DNF11_1362	Protein transport protein BET1
RTC2	DNF11_1363	Protein RTC2
ups1	DNF11_1364	Uroporphyrinogen-III synthase
	DNF11_1365	putative citrate synthase, mitochondrial
pld1	DNF11_1366	Phospholipase D1
VPS4	DNF11_1367	Vacuolar protein sorting-associated protein 4
	DNF11_1368	uncharacterized protein
mkh1	DNF11_1369	MAP kinase kinase kinase mkh1
PEX4	DNF11_1370	Protein PEROXIN-4
Rab11b	DNF11_1371	Ras-related protein Rab-11B
mcm3	DNF11_1372	DNA replication licensing factor mcm3
Cops6	DNF11_1373	COP9 signalosome complex subunit 6
	DNF11_1374	hypothetical protein
	DNF11_1375	hypothetical protein
Tsnax	DNF11_1376	Translin-associated protein X
	DNF11_1377	hypothetical protein
RINT1	DNF11_1378	RAD50-interacting protein 1
TMEM184A	DNF11_1379	Transmembrane protein 184A
qcr7	DNF11_1380	Cytochrome b-c1 complex subunit 7
hem14	DNF11_1381	Protoporphyrinogen oxidase
	DNF11_1382	Fructose-1,6-bisphosphatase, cytosolic
	DNF11_1383	hypothetical protein
	DNF11_1384	uncharacterized protein
PCL1	DNF11_1385	PHO85 cyclin-1
YEL1	DNF11_1386	Guanine-nucleotide exchange factor YEL1
PWP2	DNF11_1387	Periodic tryptophan protein 2
HAS1	DNF11_1388	ATP-dependent RNA helicase HAS1
	DNF11_1389	putative WD repeat-containing protein.07
MDN1	DNF11_1390	Midasin
	DNF11_1391	Foie gras liver health family 1
	DNF11_1392	Putative DEAH-box ATP-dependent helicase
	DNF11_1393	hypothetical protein
HSE1	DNF11_1394	Class E vacuolar protein-sorting machinery protein HSE1
ucp7	DNF11_1395	UBA domain-containing protein 7
Psmd6	DNF11_1396	26S proteasome non-ATPase regulatory subunit 6
rpn6	DNF11_1397	putative 26S proteasome regulatory subunit rpn6
	DNF11_1398	uncharacterized protein
	DNF11_1399	hypothetical protein
	DNF11_1400	hypothetical protein
	DNF11_1401	uncharacterized protein
lsc1	DNF11_1402	CTD kinase subunit beta
	DNF11_1403	uncharacterized protein
GGC1	DNF11_1404	Mitochondrial GTP/GDP carrier protein 1
DBP4	DNF11_1405	ATP-dependent RNA helicase DBP4
	DNF11_1406	hypothetical protein
	DNF11_1407	uncharacterized protein
	DNF11_1408	BAG domain protein
	DNF11_1409	hypothetical protein
	DNF11_1410	uncharacterized protein
rps4a	DNF11_1411	40S ribosomal protein S4-A
cwf19	DNF11_1412	Pre-mRNA-splicing factor cwf19
zrt1_1	DNF11_1413	Zinc-regulated transporter 1
zrt1_2	DNF11_1414	Zinc-regulated transporter 1
	DNF11_1415	Arginine biosynthesis bifunctional protein ArgJ beta chain
	DNF11_1416	hypothetical protein
	DNF11_1417	Cysteine-rich TM module stress tolerance
LIP4_1	DNF11_1418	Lipase 4
ste11b	DNF11_1419	Transcription factor ste11
PCL6	DNF11_1420	PHO85 cyclin-6
POT1	DNF11_1421	3-ketoacyl-CoA thiolase, peroxisomal
HHF1_1	DNF11_1422	Histone H4
HHT2	DNF11_1423	Histone H3.2
	DNF11_1424	Putative monoglyceride lipase
mug136	DNF11_1425	Meiotically up-regulated gene 136 protein
	DNF11_1426	Reduced meiotic recombination protein.04c
Usp4	DNF11_1427	Ubiquitin carboxyl-terminal hydrolase 4
grx4	DNF11_1428	Monothiol glutaredoxin-4
nuf2	DNF11_1429	Kinetochore protein nuf2
THR1	DNF11_1430	Homoserine kinase
LENG8	DNF11_1431	Leukocyte receptor cluster member 8
BHLH140	DNF11_1432	Transcription factor bHLH140
DYNC1I2	DNF11_1433	Cytoplasmic dynein 1 intermediate chain 2
HIS3	DNF11_1434	Imidazoleglycerol-phosphate dehydratase
	DNF11_1435	SAP domain protein
	DNF11_1436	putative actin-related protein 8
met9	DNF11_1437	Methylenetetrahydrofolate reductase 1
nse1	DNF11_1438	Non-structural maintenance of chromosomes element 1
aatA	DNF11_1439	Aspartate aminotransferase, mitochondrial
RPL40	DNF11_1440	60S ribosomal protein L40
SNX41	DNF11_1441	Sorting nexin-41
	DNF11_1442	hypothetical protein
rfc3	DNF11_1443	Replication factor C subunit 3
	DNF11_1444	putative ubiquitin fusion degradation protein C12B10.01c
DHX38	DNF11_1445	Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16
DDI1	DNF11_1446	DNA damage-inducible protein 1
rpm1	DNF11_1447	Exoribonuclease II, mitochondrial
shmt2	DNF11_1448	Serine hydroxymethyltransferase 2
	DNF11_1449	KIN17-like protein
qcr-2	DNF11_1450	Cytochrome b-c1 complex subunit 2, mitochondrial
gyaR	DNF11_1451	Glyoxylate reductase
CWC2	DNF11_1452	Pre-mRNA-splicing factor CWC2
	DNF11_1453	hypothetical protein
Orc5	DNF11_1454	Origin recognition complex subunit 5
	DNF11_1455	NADH oxidase
	DNF11_1456	uncharacterized protein
UBC1_2	DNF11_1457	Ubiquitin-conjugating enzyme E2-16 kDa
	DNF11_1458	Putative elongation of fatty acids protein 1
HERC3	DNF11_1459	putative E3 ubiquitin-protein ligase HERC3
ngg1	DNF11_1460	Chromatin-remodeling complexes subunit ngg1
	DNF11_1461	Na+/panthothenate symporter
NIPA2_2	DNF11_1462	Magnesium transporter NIPA2
	DNF11_1463	hypothetical protein
	DNF11_1464	Cryptococcal mannosyltransferase 1
Chn2	DNF11_1465	Beta-chimaerin
	DNF11_1466	60S acidic ribosomal protein P2
RPS15	DNF11_1467	40S ribosomal protein S15
MUS81	DNF11_1468	Crossover junction endonuclease MUS81
	DNF11_1469	hypothetical protein
cyt-1	DNF11_1470	Cytochrome c1, heme protein, mitochondrial
cut6	DNF11_1471	Biotin carboxylase
prp28	DNF11_1472	Pre-mRNA-splicing ATP-dependent RNA helicase prp28
mrpl10	DNF11_1473	54S ribosomal protein L10, mitochondrial
psy1	DNF11_1474	Syntaxin-like protein psy1
TYR1	DNF11_1475	Prephenate dehydrogenase [NADP(+)
	DNF11_1476	hypothetical protein
	DNF11_1477	Mitochondrial import inner membrane translocase,subunit TIM22
dsc2	DNF11_1478	DSC E3 ubiquitin ligase complex subunit 2
	DNF11_1479	hypothetical protein
tim23	DNF11_1480	Mitochondrial import inner membrane translocase subunit tim23
rpmA	DNF11_1481	50S ribosomal protein L27
	DNF11_1482	hypothetical protein
ccdc124	DNF11_1483	Coiled-coil domain-containing protein 124
DAO1	DNF11_1484	D-amino-acid oxidase
bud20	DNF11_1485	Zinc finger protein bud20
RPL33A	DNF11_1486	60S ribosomal protein L33-A
	DNF11_1487	hypothetical protein
pol1	DNF11_1488	DNA polymerase alpha catalytic subunit
	DNF11_1489	hypothetical protein
PDXK	DNF11_1490	Pyridoxal kinase
	DNF11_1491	DASH complex subunit Spc34
ada1	DNF11_1492	AMP deaminase
pgk-1	DNF11_1493	Phosphoglycerate kinase
ARA2	DNF11_1494	D-arabinose 1-dehydrogenase
tif225	DNF11_1495	putative translation initiation factor eIF-2B subunit epsilon
NSP1_2	DNF11_1496	Nucleoporin NSP1
kei1	DNF11_1497	Inositol phoshorylceramide synthase regulatory subunit kei1
	DNF11_1498	uncharacterized protein
	DNF11_1499	hypothetical protein
sen2	DNF11_1500	putative tRNA-splicing endonuclease subunit sen2
ceg1	DNF11_1501	mRNA-capping enzyme subunit alpha
	DNF11_1502	hypothetical protein
	DNF11_1503	hypothetical protein
	DNF11_1504	uncharacterized protein
	DNF11_1505	uncharacterized protein
spe2	DNF11_1506	S-adenosylmethionine decarboxylase beta chain
alp4	DNF11_1507	Spindle pole body component alp4
sdh3	DNF11_1508	Succinate dehydrogenase cytochrome B subunit, mitochondrial
sed5	DNF11_1509	Integral membrane protein sed5
	DNF11_1510	putative cystathionine gamma-synthase
Bub3	DNF11_1511	Mitotic checkpoint protein BUB3
GUA1	DNF11_1512	GMP synthase
srw1	DNF11_1513	WD repeat-containing protein srw1
HHT1	DNF11_1514	Histone H3.1
pos5	DNF11_1515	NADH kinase pos5, mitochondrial
Lnp	DNF11_1516	Protein lunapark
qcr8	DNF11_1517	Cytochrome b-c1 complex subunit 8
mlo3	DNF11_1518	mRNA export protein mlo3
Wdfy3	DNF11_1519	WD repeat and FYVE domain-containing protein 3
NBP35	DNF11_1520	Cytosolic Fe-S cluster assembly factor NBP35
POL2	DNF11_1521	DNA polymerase epsilon catalytic subunit A
	DNF11_1522	hypothetical protein
	DNF11_1523	hypothetical protein
	DNF11_1524	hypothetical protein
	DNF11_1525	uncharacterized protein
gpi1_1	DNF11_1526	Glucose-6-phosphate isomerase
	DNF11_1527	High mobility group-T protein
yfkN	DNF11_1528	5'-nucleotidase
	DNF11_1529	putative membrane protein
CAF17	DNF11_1530	Putative transferase CAF17, mitochondrial
TMEM41A	DNF11_1531	Transmembrane protein 41A
gpt1	DNF11_1532	UDP-glucose:glycoprotein glucosyltransferase
tlg1	DNF11_1533	t-SNARE affecting a late Golgi compartment protein 1
bfr1_1	DNF11_1534	Brefeldin A resistance protein
bfr1_2	DNF11_1535	Brefeldin A resistance protein
	DNF11_1536	hypothetical protein
UBC6	DNF11_1537	Ubiquitin-conjugating enzyme E2 6
	DNF11_1538	Histone acetylation protein 2
mcm2	DNF11_1539	DNA replication licensing factor mcm2
pph-1	DNF11_1540	Serine/threonine-protein phosphatase PP2A catalytic subunit
	DNF11_1541	hypothetical protein
rad13	DNF11_1542	DNA repair protein rad13
	DNF11_1543	PXA domain protein
AIM29	DNF11_1544	Altered inheritance rate of mitochondria protein29
CHK1	DNF11_1545	Serine/threonine-protein kinase CHK1
NEM1	DNF11_1546	Nuclear envelope morphology protein 1
	DNF11_1547	hypothetical protein
	DNF11_1548	hypothetical protein
pom152	DNF11_1549	Nucleoporin pom152
	DNF11_1550	Fungal Zn(2)-Cys(6) binuclear cluster domain protein
	DNF11_1551	hypothetical protein
	DNF11_1552	hypothetical protein
ABCD2_2	DNF11_1553	ATP-binding cassette sub-family D member 2
	DNF11_1554	Pentatricopeptide repeat-containing protein
Dync1li2	DNF11_1555	Cytoplasmic dynein 1 light intermediate chain 2
	DNF11_1556	SAC3 family protein 1
	DNF11_1557	putative chloride channel protein-D
TMED4	DNF11_1558	Transmembrane emp24 domain-containing protein 4
DUG3	DNF11_1559	putative glutamine amidotransferase DUG3
TPR	DNF11_1560	Nucleoprotein TPR
rrn7	DNF11_1561	RNA polymerase I-specific transcription initiation factor rrn7
AOS1	DNF11_1562	DNA damage tolerance protein RHC31
RAD50	DNF11_1563	DNA repair protein RAD50
